,Google Trend
2013-04-28,18.712
2013-04-29,14.06
2013-04-30,16.252
2013-05-01,16.68
2013-05-02,22.06
2013-05-03,32.224
2013-05-04,11.352
2013-05-05,10.612
2013-05-06,32.064
2013-05-07,17.664
2013-05-08,29.368
2013-05-09,19.588
2013-05-10,27.124
2013-05-11,17.532
2013-05-12,14.568
2013-05-13,26.388
2013-05-14,18.868
2013-05-15,17.952
2013-05-16,32.296
2013-05-17,24.7
2013-05-18,8.616
2013-05-19,14.32
2013-05-20,24.58
2013-05-21,15.924
2013-05-22,24.092
2013-05-23,24.272
2013-05-24,23.56
2013-05-25,11.824
2013-05-26,15.332
2013-05-27,18.264
2013-05-28,34.892
2013-05-29,27.888
2013-05-30,20.904
2013-05-31,19.34
2013-06-01,23.624
2013-06-02,14.716
2013-06-03,38.468
2013-06-04,33.644
2013-06-05,20.404
2013-06-06,14.452
2013-06-07,28.928
2013-06-08,21.428
2013-06-09,5.724
2013-06-10,22.7
2013-06-11,29.044
2013-06-12,33.736
2013-06-13,29.624
2013-06-14,35.772
2013-06-15,19.164
2013-06-16,18.032
2013-06-17,25.128
2013-06-18,46.836
2013-06-19,33.936
2013-06-20,45.668
2013-06-21,28.6
2013-06-22,43.116
2013-06-23,22.58
2013-06-24,54.668
2013-06-25,35.092
2013-06-26,35.88
2013-06-27,35.26
2013-06-28,52.74
2013-06-29,30.368
2013-06-30,22.488
2013-07-01,40.552
2013-07-02,42.012
2013-07-03,96.904
2013-07-04,38.376
2013-07-05,36.584
2013-07-06,23.348
2013-07-07,20.612
2013-07-08,38.976
2013-07-09,42.448
2013-07-10,32.184
2013-07-11,34.752
2013-07-12,20.692
2013-07-13,20.04
2013-07-14,12.036
2013-07-15,20.288
2013-07-16,27.888
2013-07-17,34.356
2013-07-18,32.828
2013-07-19,29.024
2013-07-20,14.264
2013-07-21,16.524
2013-07-22,23.776
2013-07-23,16.892
2013-07-24,11.816
2013-07-25,18.38
2013-07-26,21.22
2013-07-27,15.112
2013-07-28,9.788
2013-07-29,19.128
2013-07-30,16.388
2013-07-31,49.372
2013-08-01,32.224
2013-08-02,43.344
2013-08-03,35.128
2013-08-04,27.684
2013-08-05,34.86
2013-08-06,21.944
2013-08-07,20.048
2013-08-08,14.596
2013-08-09,38.388
2013-08-10,19.16
2013-08-11,11.504
2013-08-12,29.516
2013-08-13,16.688
2013-08-14,23.116
2013-08-15,19.768
2013-08-16,27.92
2013-08-17,24.692
2013-08-18,21.536
2013-08-19,17.056
2013-08-20,26.308
2013-08-21,27.884
2013-08-22,25.092
2013-08-23,24.684
2013-08-24,12.068
2013-08-25,9.072
2013-08-26,16.524
2013-08-27,27.872
2013-08-28,19.8
2013-08-29,36.524
2013-08-30,23.268
2013-08-31,15.3
2013-09-01,19.336
2013-09-02,19.728
2013-09-03,38.412
2013-09-04,36.504
2013-09-05,31.4
2013-09-06,39.668
2013-09-07,16.696
2013-09-08,20.52
2013-09-09,41.196
2013-09-10,29.172
2013-09-11,26.54
2013-09-12,30.248
2013-09-13,29.276
2013-09-14,13.548
2013-09-15,20.328
2013-09-16,36.86
2013-09-17,26.472
2013-09-18,36.452
2013-09-19,45.532
2013-09-20,42.56
2013-09-21,27.024
2013-09-22,27.936
2013-09-23,43.38
2013-09-24,49.18
2013-09-25,37.556
2013-09-26,62.408
2013-09-27,30.312
2013-09-28,23.36
2013-09-29,26.632
2013-09-30,28.288
2013-10-01,29.832
2013-10-02,37.192
2013-10-03,37.94
2013-10-04,47.1
2013-10-05,23.48
2013-10-06,22.416
2013-10-07,42.304
2013-10-08,36.972
2013-10-09,32.564
2013-10-10,31.844
2013-10-11,24.352
2013-10-12,22.86
2013-10-13,25.488
2013-10-14,31.248
2013-10-15,24.912
2013-10-16,74.844
2013-10-17,56.06
2013-10-18,57.54
2013-10-19,22.536
2013-10-20,17.964
2013-10-21,30.32
2013-10-22,39.656
2013-10-23,26.188
2013-10-24,24.924
2013-10-25,28.016
2013-10-26,27.052
2013-10-27,19.172
2013-10-28,34.544
2013-10-29,31.244
2013-10-30,25.944
2013-10-31,18.512
2013-11-01,16.276
2013-11-02,19.02
2013-11-03,15.24
2013-11-04,24.78
2013-11-05,20.58
2013-11-06,24.756
2013-11-07,27.164
2013-11-08,15.396
2013-11-09,15.4
2013-11-10,16.404
2013-11-11,17.248
2013-11-12,19.156
2013-11-13,23.012
2013-11-14,26.576
2013-11-15,30.144
2013-11-16,13.06
2013-11-17,10.132
2013-11-18,18.568
2013-11-19,26.592
2013-11-20,29.052
2013-11-21,42.2
2013-11-22,55.028
2013-11-23,20.976
2013-11-24,28.664
2013-11-25,31.424
2013-11-26,32.16
2013-11-27,17.94
2013-11-28,23.196
2013-11-29,22.928
2013-11-30,23.948
2013-12-01,10.392
2013-12-02,19.408
2013-12-03,20.588
2013-12-04,29.868
2013-12-05,22.072
2013-12-06,16.372
2013-12-07,4.564
2013-12-08,18.284
2013-12-09,38.864
2013-12-10,18.48
2013-12-11,18.68
2013-12-12,36.42
2013-12-13,20.648
2013-12-14,12.552
2013-12-15,9.74
2013-12-16,33.06
2013-12-17,25.276
2013-12-18,31.908
2013-12-19,24.928
2013-12-20,26.54
2013-12-21,6.748
2013-12-22,7.132
2013-12-23,19.948
2013-12-24,6.964
2013-12-25,19.836
2013-12-26,8.736
2013-12-27,13.292
2013-12-28,12.724
2013-12-29,15.744
2013-12-30,18.776
2013-12-31,16.092
2014-01-01,13.436
2014-01-02,29.336
2014-01-03,11.572
2014-01-04,18.276
2014-01-05,6.144
2014-01-06,11.136
2014-01-07,17.908
2014-01-08,29.404
2014-01-09,26.252
2014-01-10,18.644
2014-01-11,13.864
2014-01-12,7.876
2014-01-13,20.244
2014-01-14,16.28
2014-01-15,43.644
2014-01-16,20.168
2014-01-17,20.98
2014-01-18,11.064
2014-01-19,17.1
2014-01-20,19.904
2014-01-21,26.736
2014-01-22,24.08
2014-01-23,19.648
2014-01-24,21.008
2014-01-25,10.948
2014-01-26,16.428
2014-01-27,21.248
2014-01-28,16.148
2014-01-29,34.74
2014-01-30,30.116
2014-01-31,48.132
2014-02-01,15.132
2014-02-02,7.092
2014-02-03,12.612
2014-02-04,29.696
2014-02-05,15.436
2014-02-06,7.964
2014-02-07,24.024
2014-02-08,14.956
2014-02-09,8.336
2014-02-10,14.828
2014-02-11,33.6
2014-02-12,29.592
2014-02-13,23.884
2014-02-14,32.912
2014-02-15,4.764
2014-02-16,12.924
2014-02-17,17.08
2014-02-18,35.144
2014-02-19,17.72
2014-02-20,27.092
2014-02-21,19.652
2014-02-22,7.84
2014-02-23,12.156
2014-02-24,28.216
