,Google Trend
2013-04-28,0.0
2013-04-29,13.148
2013-04-30,33.608
2013-05-01,25.708
2013-05-02,44.684
2013-05-03,0.0
2013-05-04,37.2
2013-05-05,0.0
2013-05-06,15.344
2013-05-07,0.0
2013-05-08,0.0
2013-05-09,6.404
2013-05-10,0.0
2013-05-11,0.0
2013-05-12,0.0
2013-05-13,18.008
2013-05-14,5.468
2013-05-15,24.012
2013-05-16,0.0
2013-05-17,22.252
2013-05-18,20.116
2013-05-19,0.0
2013-05-20,0.0
2013-05-21,0.0
2013-05-22,4.984
2013-05-23,13.216
2013-05-24,0.0
2013-05-25,21.092
2013-05-26,34.388
2013-05-27,14.516
2013-05-28,5.48
2013-05-29,15.3
2013-05-30,0.0
2013-05-31,34.7
2013-06-01,0.0
2013-06-02,0.0
2013-06-03,16.5
2013-06-04,0.0
2013-06-05,20.276
2013-06-06,0.0
2013-06-07,0.0
2013-06-08,0.0
2013-06-09,0.0
2013-06-10,6.212
2013-06-11,5.428
2013-06-12,0.0
2013-06-13,13.556
2013-06-14,32.52
2013-06-15,0.0
2013-06-16,0.0
2013-06-17,21.284
2013-06-18,22.932
2013-06-19,10.624
2013-06-20,18.476
2013-06-21,0.0
2013-06-22,0.0
2013-06-23,0.0
2013-06-24,0.0
2013-06-25,32.176
2013-06-26,0.0
2013-06-27,55.844
2013-06-28,43.232
2013-06-29,39.088
2013-06-30,32.08
2013-07-01,41.596
2013-07-02,0.0
2013-07-03,16.136
2013-07-04,14.612
2013-07-05,0.0
2013-07-06,0.0
2013-07-07,7.12
2013-07-08,0.0
2013-07-09,19.64
2013-07-10,17.208
2013-07-11,0.0
2013-07-12,0.0
2013-07-13,0.0
2013-07-14,0.0
2013-07-15,0.0
2013-07-16,0.0
2013-07-17,17.36
2013-07-18,0.0
2013-07-19,0.0
2013-07-20,0.0
2013-07-21,0.0
2013-07-22,16.772
2013-07-23,16.568
2013-07-24,14.408
2013-07-25,4.328
2013-07-26,0.0
2013-07-27,0.0
2013-07-28,3.868
2013-07-29,26.456
2013-07-30,0.0
2013-07-31,0.0
2013-08-01,0.0
2013-08-02,15.26
2013-08-03,0.0
2013-08-04,17.604
2013-08-05,0.0
2013-08-06,26.608
2013-08-07,25.268
2013-08-08,3.9
2013-08-09,21.264
2013-08-10,15.912
2013-08-11,0.0
2013-08-12,11.792
2013-08-13,0.0
2013-08-14,19.6
2013-08-15,12.876
2013-08-16,37.388
2013-08-17,13.724
2013-08-18,0.0
2013-08-19,26.548
2013-08-20,11.18
2013-08-21,21.164
2013-08-22,3.9
2013-08-23,27.976
2013-08-24,3.884
2013-08-25,13.596
2013-08-26,18.308
2013-08-27,0.0
2013-08-28,11.276
2013-08-29,18.464
2013-08-30,3.124
2013-08-31,13.576
2013-09-01,0.0
2013-09-02,10.384
2013-09-03,12.248
2013-09-04,12.244
2013-09-05,5.972
2013-09-06,2.868
2013-09-07,0.0
2013-09-08,0.0
2013-09-09,16.668
2013-09-10,21.752
2013-09-11,23.02
2013-09-12,13.196
2013-09-13,3.196
2013-09-14,0.0
2013-09-15,0.0
2013-09-16,10.18
2013-09-17,10.208
2013-09-18,22.968
2013-09-19,10.572
2013-09-20,2.852
2013-09-21,0.0
2013-09-22,3.08
2013-09-23,10.26
2013-09-24,8.952
2013-09-25,12.704
2013-09-26,0.0
2013-09-27,2.7
2013-09-28,0.0
2013-09-29,0.0
2013-09-30,0.0
2013-10-01,16.512
2013-10-02,0.0
2013-10-03,0.0
2013-10-04,12.316
2013-10-05,24.332
2013-10-06,0.0
2013-10-07,2.364
2013-10-08,11.144
2013-10-09,10.296
2013-10-10,12.116
2013-10-11,0.0
2013-10-12,0.0
2013-10-13,0.0
2013-10-14,0.0
2013-10-15,20.296
2013-10-16,2.088
2013-10-17,34.744
2013-10-18,10.592
2013-10-19,0.0
2013-10-20,0.0
2013-10-21,19.168
2013-10-22,14.836
2013-10-23,2.652
2013-10-24,19.78
2013-10-25,9.796
2013-10-26,0.0
2013-10-27,9.268
2013-10-28,36.28
2013-10-29,13.204
2013-10-30,0.0
2013-10-31,9.54
2013-11-01,21.66
2013-11-02,0.0
2013-11-03,8.832
2013-11-04,1.716
2013-11-05,20.984
2013-11-06,18.08
2013-11-07,2.364
2013-11-08,1.952
2013-11-09,0.0
2013-11-10,2.496
2013-11-11,12.464
2013-11-12,9.156
2013-11-13,13.616
2013-11-14,0.0
2013-11-15,0.0
2013-11-16,0.0
2013-11-17,0.0
2013-11-18,14.024
2013-11-19,18.084
2013-11-20,12.28
2013-11-21,14.432
2013-11-22,2.252
2013-11-23,0.0
2013-11-24,13.796
2013-11-25,7.668
2013-11-26,30.728
2013-11-27,4.364
2013-11-28,8.188
2013-11-29,0.0
2013-11-30,0.0
2013-12-01,0.0
2013-12-02,29.504
2013-12-03,19.648
2013-12-04,14.732
2013-12-05,0.0
2013-12-06,2.2
2013-12-07,0.0
2013-12-08,12.66
2013-12-09,23.656
2013-12-10,0.0
2013-12-11,0.0
2013-12-12,15.616
2013-12-13,7.492
2013-12-14,4.352
2013-12-15,0.0
2013-12-16,0.0
2013-12-17,0.0
2013-12-18,7.908
2013-12-19,16.916
2013-12-20,16.608
2013-12-21,8.644
2013-12-22,0.0
2013-12-23,0.0
2013-12-24,0.0
2013-12-25,0.0
2013-12-26,0.0
2013-12-27,1.964
2013-12-28,0.0
2013-12-29,1.644
2013-12-30,7.3
2013-12-31,5.856
2014-01-01,7.956
2014-01-02,7.14
2014-01-03,8.056
2014-01-04,10.968
2014-01-05,0.0
2014-01-06,21.664
2014-01-07,14.024
2014-01-08,33.984
2014-01-09,27.948
2014-01-10,16.78
2014-01-11,16.22
2014-01-12,28.464
2014-01-13,50.436
2014-01-14,26.772
2014-01-15,69.216
2014-01-16,94.828
2014-01-17,36.984
2014-01-18,10.256
2014-01-19,14.356
2014-01-20,18.008
2014-01-21,17.488
2014-01-22,26.164
2014-01-23,18.1
2014-01-24,14.008
2014-01-25,11.556
2014-01-26,3.32
2014-01-27,25.94
2014-01-28,22.372
2014-01-29,38.956
2014-01-30,32.596
2014-01-31,48.084
2014-02-01,23.92
2014-02-02,27.336
2014-02-03,39.712
2014-02-04,33.984
2014-02-05,22.368
2014-02-06,60.768
2014-02-07,13.216
2014-02-08,7.16
2014-02-09,0.0
2014-02-10,26.492
2014-02-11,27.4
2014-02-12,35.972
2014-02-13,18.008
2014-02-14,13.74
2014-02-15,7.988
2014-02-16,7.28
2014-02-17,14.46
2014-02-18,13.668
2014-02-19,0.0
2014-02-20,13.2
2014-02-21,13.672
2014-02-22,20.516
2014-02-23,7.284
2014-02-24,19.588
2014-02-25,10.368
2014-02-26,43.508
2014-02-27,42.12
2014-02-28,43.62
2014-03-01,21.192
2014-03-02,10.756
2014-03-03,30.956
2014-03-04,51.056
2014-03-05,31.28
2014-03-06,73.716
2014-03-07,53.308
2014-03-08,37.248
2014-03-09,12.02
2014-03-10,32.26
2014-03-11,21.344
2014-03-12,19.396
2014-03-13,31.828
2014-03-14,11.212
2014-03-15,7.184
2014-03-16,7.272
2014-03-17,25.508
2014-03-18,18.38
2014-03-19,14.932
2014-03-20,13.444
2014-03-21,23.328
2014-03-22,11.428
2014-03-23,4.08
2014-03-24,14.46
2014-03-25,15.436
2014-03-26,32.432
2014-03-27,29.452
2014-03-28,15.664
2014-03-29,8.308
2014-03-30,7.384
2014-03-31,28.58
2014-04-01,27.808
2014-04-02,20.64
2014-04-03,25.328
2014-04-04,2.212
2014-04-05,16.24
2014-04-06,12.184
2014-04-07,23.508
2014-04-08,5.82
2014-04-09,30.944
2014-04-10,19.032
2014-04-11,13.06
2014-04-12,8.2
2014-04-13,0.0
2014-04-14,14.4
2014-04-15,21.248
2014-04-16,0.0
2014-04-17,23.972
2014-04-18,25.832
2014-04-19,13.724
2014-04-20,10.392
2014-04-21,11.948
2014-04-22,21.104
2014-04-23,14.48
2014-04-24,21.916
2014-04-25,16.744
2014-04-26,8.884
2014-04-27,17.112
2014-04-28,26.312
2014-04-29,10.664
2014-04-30,20.416
2014-05-01,11.808
2014-05-02,8.964
2014-05-03,6.124
2014-05-04,8.984
2014-05-05,12.272
2014-05-06,23.016
2014-05-07,20.132
2014-05-08,14.148
2014-05-09,55.72
2014-05-10,21.568
2014-05-11,15.336
2014-05-12,35.3
2014-05-13,9.628
2014-05-14,31.844
2014-05-15,22.044
2014-05-16,34.136
2014-05-17,0.0
2014-05-18,15.58
2014-05-19,23.108
2014-05-20,16.936
2014-05-21,18.28
2014-05-22,30.804
2014-05-23,9.268
2014-05-24,22.964
2014-05-25,12.184
2014-05-26,30.356
2014-05-27,24.172
2014-05-28,19.496
2014-05-29,12.308
2014-05-30,16.984
2014-05-31,3.136
2014-06-01,14.548
2014-06-02,22.016
2014-06-03,30.436
2014-06-04,18.688
2014-06-05,20.64
2014-06-06,3.712
2014-06-07,24.796
2014-06-08,31.312
2014-06-09,31.668
2014-06-10,20.516
2014-06-11,15.996
2014-06-12,35.952
2014-06-13,8.372
2014-06-14,24.676
2014-06-15,0.0
2014-06-16,31.436
2014-06-17,32.296
2014-06-18,0.0
2014-06-19,29.188
2014-06-20,25.196
2014-06-21,3.52
2014-06-22,23.784
2014-06-23,38.96
2014-06-24,28.108
2014-06-25,37.676
2014-06-26,45.296
2014-06-27,22.648
2014-06-28,16.108
2014-06-29,19.796
2014-06-30,27.816
2014-07-01,17.244
2014-07-02,23.1
2014-07-03,29.168
2014-07-04,30.84
2014-07-05,19.608
2014-07-06,12.672
2014-07-07,31.584
2014-07-08,9.952
2014-07-09,14.36
2014-07-10,28.66
2014-07-11,12.816
2014-07-12,0.0
2014-07-13,10.408
2014-07-14,7.924
2014-07-15,27.44
2014-07-16,21.276
2014-07-17,15.84
2014-07-18,10.192
2014-07-19,0.0
2014-07-20,0.0
2014-07-21,21.116
