,Google Trend
2013-04-28,76.168
2013-04-29,41.024
2013-04-30,39.34
2013-05-01,21.228
2013-05-02,14.372
2013-05-03,19.58
2013-05-04,29.184
2013-05-05,8.404
2013-05-06,40.976
2013-05-07,22.708
2013-05-08,33.788
2013-05-09,31.46
2013-05-10,36.36
2013-05-11,18.62
2013-05-12,26.012
2013-05-13,28.836
2013-05-14,26.244
2013-05-15,33.452
2013-05-16,21.944
2013-05-17,27.976
2013-05-18,20.796
2013-05-19,21.204
2013-05-20,22.44
2013-05-21,28.148
2013-05-22,29.36
2013-05-23,31.264
2013-05-24,40.556
2013-05-25,42.236
2013-05-26,44.648
2013-05-27,24.576
2013-05-28,17.732
2013-05-29,31.54
2013-05-30,16.296
2013-05-31,22.52
2013-06-01,0.0
2013-06-02,40.284
2013-06-03,0.0
2013-06-04,23.28
2013-06-05,27.512
2013-06-06,11.352
2013-06-07,8.964
2013-06-08,22.196
2013-06-09,19.82
2013-06-10,24.652
2013-06-11,17.428
2013-06-12,30.82
2013-06-13,20.38
2013-06-14,27.072
2013-06-15,11.344
2013-06-16,4.8
2013-06-17,33.84
2013-06-18,25.636
2013-06-19,24.9
2013-06-20,26.284
2013-06-21,0.0
2013-06-22,0.0
2013-06-23,15.032
2013-06-24,28.248
2013-06-25,14.26
2013-06-26,30.624
2013-06-27,0.0
2013-06-28,29.14
2013-06-29,10.572
2013-06-30,15.02
2013-07-01,36.816
2013-07-02,21.112
2013-07-03,19.62
2013-07-04,21.724
2013-07-05,9.152
2013-07-06,18.704
2013-07-07,23.872
2013-07-08,23.292
2013-07-09,9.772
2013-07-10,8.2
2013-07-11,13.156
2013-07-12,30.948
2013-07-13,12.528
2013-07-14,9.9
2013-07-15,20.044
2013-07-16,22.696
2013-07-17,30.552
2013-07-18,35.996
2013-07-19,40.66
2013-07-20,23.156
2013-07-21,29.668
2013-07-22,26.468
2013-07-23,15.728
2013-07-24,22.024
2013-07-25,46.06
2013-07-26,21.304
2013-07-27,11.488
2013-07-28,9.864
2013-07-29,39.86
2013-07-30,47.124
2013-07-31,27.288
2013-08-01,26.788
2013-08-02,27.04
2013-08-03,33.876
2013-08-04,25.736
2013-08-05,27.176
2013-08-06,35.192
2013-08-07,35.052
2013-08-08,26.24
2013-08-09,47.932
2013-08-10,29.928
2013-08-11,33.7
2013-08-12,50.748
2013-08-13,48.456
2013-08-14,39.708
2013-08-15,21.448
2013-08-16,31.424
2013-08-17,15.632
2013-08-18,34.224
2013-08-19,21.196
2013-08-20,27.756
2013-08-21,33.164
2013-08-22,39.604
2013-08-23,47.368
2013-08-24,43.128
2013-08-25,46.212
2013-08-26,32.42
2013-08-27,28.372
2013-08-28,49.132
2013-08-29,31.76
2013-08-30,23.096
2013-08-31,33.616
2013-09-01,48.568
2013-09-02,53.216
2013-09-03,40.772
2013-09-04,28.184
2013-09-05,30.4
2013-09-06,30.356
2013-09-07,19.344
2013-09-08,32.728
2013-09-09,32.38
2013-09-10,37.192
2013-09-11,35.132
2013-09-12,33.228
2013-09-13,24.992
2013-09-14,23.276
2013-09-15,38.108
2013-09-16,31.532
2013-09-17,29.252
2013-09-18,21.964
2013-09-19,27.744
2013-09-20,36.132
2013-09-21,23.696
2013-09-22,30.972
2013-09-23,36.0
2013-09-24,28.316
2013-09-25,36.304
2013-09-26,38.76
2013-09-27,27.9
2013-09-28,13.164
2013-09-29,18.88
2013-09-30,34.972
2013-10-01,29.932
2013-10-02,41.668
2013-10-03,76.044
2013-10-04,38.58
2013-10-05,38.868
2013-10-06,27.524
2013-10-07,33.9
2013-10-08,31.78
2013-10-09,33.692
2013-10-10,37.952
2013-10-11,37.04
2013-10-12,19.476
2013-10-13,20.948
2013-10-14,26.888
2013-10-15,16.64
2013-10-16,41.492
2013-10-17,47.96
2013-10-18,52.588
2013-10-19,37.392
2013-10-20,16.788
2013-10-21,53.12
2013-10-22,49.808
2013-10-23,49.052
2013-10-24,42.164
2013-10-25,30.288
2013-10-26,18.78
2013-10-27,25.904
2013-10-28,21.428
2013-10-29,34.056
2013-10-30,51.884
2013-10-31,41.312
2013-11-01,24.56
2013-11-02,56.668
2013-11-03,42.348
2013-11-04,31.68
2013-11-05,34.752
2013-11-06,30.988
2013-11-07,38.888
2013-11-08,42.252
2013-11-09,43.756
2013-11-10,23.072
2013-11-11,53.408
2013-11-12,35.212
2013-11-13,40.808
2013-11-14,42.68
2013-11-15,34.264
2013-11-16,19.94
2013-11-17,32.28
2013-11-18,45.816
2013-11-19,26.8
2013-11-20,47.316
2013-11-21,68.428
2013-11-22,44.612
2013-11-23,26.892
2013-11-24,20.896
2013-11-25,31.344
2013-11-26,33.024
2013-11-27,20.216
