Date,C-rad
2012-03-20,19.3
2012-03-21,38.076
2012-03-22,13.592
2012-03-23,5.456
2012-03-24,16.968
2012-03-25,20.368
2012-03-26,25.708
2012-03-27,38.972
2012-03-28,0.0
2012-03-29,0.0
2012-03-30,14.88
2012-03-31,19.848
2012-04-01,28.584
2012-04-02,17.176
2012-04-03,19.484
2012-04-04,0.0
2012-04-05,4.18
2012-04-06,14.452
2012-04-07,15.48
2012-04-08,16.66
2012-04-09,16.372
2012-04-10,37.22
2012-04-11,38.008
2012-04-12,12.116
2012-04-13,30.984
2012-04-14,33.424
2012-04-15,5.444
2012-04-16,26.032
2012-04-17,30.624
2012-04-18,11.272
2012-04-19,24.524
2012-04-20,0.0
2012-04-21,19.064
2012-04-22,0.0
2012-04-23,5.916
2012-04-24,0.0
2012-04-25,32.064
2012-04-26,0.0
2012-04-27,14.424
2012-04-28,17.476
2012-04-29,15.464
2012-04-30,16.704
2012-05-01,0.0
2012-05-02,0.0
2012-05-03,5.44
2012-05-04,0.0
2012-05-05,0.0
2012-05-06,0.0
2012-05-07,0.0
2012-05-08,13.268
2012-05-09,0.0
2012-05-10,0.0
2012-05-11,13.9
2012-05-12,0.0
2012-05-13,19.6
2012-05-14,11.716
2012-05-15,48.164
2012-05-16,0.0
2012-05-17,0.0
2012-05-18,0.0
2012-05-19,0.0
2012-05-20,0.0
2012-05-21,10.956
2012-05-22,0.0
2012-05-23,6.012
2012-05-24,40.812
2012-05-25,0.0
2012-05-26,0.0
2012-05-27,0.0
2012-05-28,11.572
2012-05-29,5.464
2012-05-30,10.84
2012-05-31,20.54
2012-06-01,22.504
2012-06-02,5.696
2012-06-03,18.836
2012-06-04,6.06
2012-06-05,0.0
2012-06-06,0.0
2012-06-07,0.0
2012-06-08,0.0
2012-06-09,0.0
2012-06-10,0.0
2012-06-11,17.392
2012-06-12,0.0
2012-06-13,0.0
2012-06-14,0.0
2012-06-15,0.0
2012-06-16,0.0
2012-06-17,0.0
2012-06-18,18.716
2012-06-19,0.0
2012-06-20,0.0
2012-06-21,0.0
2012-06-22,0.0
2012-06-23,0.0
2012-06-24,0.0
2012-06-25,5.752
2012-06-26,16.592
2012-06-27,4.208
2012-06-28,0.0
2012-06-29,4.62
2012-06-30,0.0
2012-07-01,6.864
2012-07-02,44.724
2012-07-03,46.46
2012-07-04,18.556
2012-07-05,5.236
2012-07-06,23.944
2012-07-07,0.0
2012-07-08,0.0
2012-07-09,0.0
2012-07-10,4.46
2012-07-11,15.58
2012-07-12,18.956
2012-07-13,0.0
2012-07-14,0.0
2012-07-15,17.516
2012-07-16,16.808
2012-07-17,0.0
2012-07-18,11.864
2012-07-19,17.4
2012-07-20,0.0
2012-07-21,0.0
2012-07-22,0.0
2012-07-23,14.6
2012-07-24,6.276
2012-07-25,0.0
2012-07-26,46.656
2012-07-27,0.0
2012-07-28,0.0
2012-07-29,0.0
2012-07-30,10.484
2012-07-31,0.0
2012-08-01,14.488
2012-08-02,0.0
2012-08-03,6.468
2012-08-04,6.3
2012-08-05,16.624
2012-08-06,0.0
2012-08-07,0.0
2012-08-08,17.488
2012-08-09,0.0
2012-08-10,5.452
2012-08-11,0.0
2012-08-12,5.848
2012-08-13,0.0
2012-08-14,0.0
2012-08-15,10.416
2012-08-16,17.628
2012-08-17,4.984
2012-08-18,0.0
2012-08-19,0.0
2012-08-20,4.912
2012-08-21,13.148
2012-08-22,0.0
2012-08-23,13.74
2012-08-24,0.0
2012-08-25,0.0
2012-08-26,6.48
2012-08-27,29.804
2012-08-28,0.0
2012-08-29,26.74
2012-08-30,18.948
2012-08-31,15.256
2012-09-01,6.844
2012-09-02,14.588
2012-09-03,4.712
2012-09-04,0.0
2012-09-05,13.22
2012-09-06,13.212
2012-09-07,17.804
2012-09-08,0.0
2012-09-09,5.04
2012-09-10,22.684
2012-09-11,8.788
2012-09-12,9.396
2012-09-13,0.0
2012-09-14,4.684
2012-09-15,0.0
2012-09-16,5.508
2012-09-17,12.136
2012-09-18,0.0
2012-09-19,12.34
2012-09-20,0.0
2012-09-21,0.0
2012-09-22,0.0
2012-09-23,0.0
2012-09-24,0.0
2012-09-25,15.56
2012-09-26,13.32
2012-09-27,25.776
2012-09-28,5.62
2012-09-29,15.516
2012-09-30,0.0
2012-10-01,16.22
2012-10-02,0.0
2012-10-03,3.496
2012-10-04,0.0
2012-10-05,0.0
2012-10-06,0.0
2012-10-07,0.0
2012-10-08,3.596
2012-10-09,14.044
2012-10-10,5.128
2012-10-11,9.596
2012-10-12,5.812
2012-10-13,0.0
2012-10-14,0.0
2012-10-15,3.236
2012-10-16,10.668
2012-10-17,10.78
2012-10-18,29.056
2012-10-19,17.308
2012-10-20,13.476
2012-10-21,5.46
2012-10-22,13.044
2012-10-23,3.364
2012-10-24,0.0
2012-10-25,13.152
2012-10-26,15.348
2012-10-27,0.0
2012-10-28,10.772
2012-10-29,12.936
2012-10-30,0.0
2012-10-31,32.668
2012-11-01,13.44
2012-11-02,0.0
2012-11-03,0.0
2012-11-04,0.0
2012-11-05,35.136
2012-11-06,40.808
2012-11-07,34.008
2012-11-08,4.5
2012-11-09,3.852
2012-11-10,0.0
2012-11-11,4.344
2012-11-12,3.408
2012-11-13,19.356
2012-11-14,7.276
2012-11-15,17.064
2012-11-16,46.192
2012-11-17,0.0
2012-11-18,25.252
2012-11-19,4.12
2012-11-20,22.772
2012-11-21,17.46
2012-11-22,13.652
2012-11-23,5.444
2012-11-24,5.492
2012-11-25,19.32
2012-11-26,20.584
2012-11-27,30.688
2012-11-28,68.768
2012-11-29,7.696
2012-11-30,3.484
2012-12-01,5.416
2012-12-02,4.868
2012-12-03,9.312
2012-12-04,12.82
2012-12-05,0.0
2012-12-06,34.7
2012-12-07,11.416
2012-12-08,0.0
2012-12-09,0.0
2012-12-10,10.86
2012-12-11,0.0
2012-12-12,0.0
2012-12-13,33.772
2012-12-14,0.0
2012-12-15,0.0
2012-12-16,4.032
2012-12-17,5.212
2012-12-18,0.0
2012-12-19,3.232
2012-12-20,3.86
2012-12-21,0.0
2012-12-22,0.0
2012-12-23,0.0
2012-12-24,18.996
2012-12-25,5.436
2012-12-26,4.556
2012-12-27,11.724
2012-12-28,4.224
2012-12-29,0.0
2012-12-30,10.86
2012-12-31,0.0
2013-01-01,0.0
2013-01-02,0.0
2013-01-03,19.392
2013-01-04,0.0
2013-01-05,10.316
2013-01-06,5.244
2013-01-07,3.02
2013-01-08,12.552
2013-01-09,0.0
2013-01-10,12.772
2013-01-11,3.204
2013-01-12,14.892
2013-01-13,3.912
2013-01-14,4.056
2013-01-15,3.988
2013-01-16,10.036
2013-01-17,3.16
2013-01-18,13.616
2013-01-19,0.0
2013-01-20,4.432
2013-01-21,23.304
2013-01-22,13.168
2013-01-23,11.2
2013-01-24,11.504
2013-01-25,0.0
2013-01-26,0.0
2013-01-27,9.792
2013-01-28,7.644
2013-01-29,12.672
2013-01-30,0.0
2013-01-31,3.248
2013-02-01,11.712
2013-02-02,0.0
2013-02-03,0.0
2013-02-04,0.0
2013-02-05,21.204
2013-02-06,12.048
2013-02-07,20.936
2013-02-08,20.392
2013-02-09,0.0
2013-02-10,0.0
2013-02-11,8.564
2013-02-12,0.0
2013-02-13,12.52
2013-02-14,22.332
2013-02-15,7.276
2013-02-16,0.0
2013-02-17,0.0
2013-02-18,6.452
2013-02-19,22.48
2013-02-20,13.1
2013-02-21,11.716
2013-02-22,11.256
2013-02-23,0.0
2013-02-24,4.364
2013-02-25,14.132
2013-02-26,61.156
2013-02-27,37.464
2013-02-28,12.016
2013-03-01,13.088
2013-03-02,11.332
2013-03-03,7.58
2013-03-04,30.8
2013-03-05,18.628
2013-03-06,34.924
2013-03-07,7.664
2013-03-08,13.64
2013-03-09,0.0
2013-03-10,0.0
2013-03-11,12.124
2013-03-12,20.048
2013-03-13,6.664
2013-03-14,13.136
2013-03-15,40.5
2013-03-16,23.284
2013-03-17,0.0
2013-03-18,22.464
2013-03-19,16.392
2013-03-20,20.312
2013-03-21,48.492
2013-03-22,10.752
2013-03-23,12.032
2013-03-24,10.22
2013-03-25,20.128
2013-03-26,0.0
2013-03-27,3.82
2013-03-28,4.1
2013-03-29,0.0
2013-03-30,0.0
2013-03-31,26.1
2013-04-01,0.0
2013-04-02,10.024
2013-04-03,3.676
2013-04-04,19.124
2013-04-05,7.312
2013-04-06,14.068
2013-04-07,3.856
2013-04-08,0.0
