,Google Trend
2013-04-28,14.312
2013-04-29,19.464
2013-04-30,15.34
2013-05-01,0.0
2013-05-02,6.6
2013-05-03,0.0
2013-05-04,0.0
2013-05-05,14.048
2013-05-06,24.316
2013-05-07,12.516
2013-05-08,6.84
2013-05-09,0.0
2013-05-10,23.016
2013-05-11,10.32
2013-05-12,0.0
2013-05-13,20.64
2013-05-14,19.732
2013-05-15,6.98
2013-05-16,16.848
2013-05-17,16.088
2013-05-18,13.6
2013-05-19,0.0
2013-05-20,14.796
2013-05-21,48.72
2013-05-22,33.916
2013-05-23,21.9
2013-05-24,25.956
2013-05-25,18.028
2013-05-26,0.0
2013-05-27,45.476
2013-05-28,28.332
2013-05-29,27.412
2013-05-30,10.724
2013-05-31,0.0
2013-06-01,8.22
2013-06-02,9.676
2013-06-03,32.752
2013-06-04,21.844
2013-06-05,16.152
2013-06-06,18.216
2013-06-07,29.792
2013-06-08,22.16
2013-06-09,17.944
2013-06-10,36.48
2013-06-11,20.54
2013-06-12,35.928
2013-06-13,33.664
2013-06-14,25.832
2013-06-15,19.088
2013-06-16,10.4
2013-06-17,18.212
2013-06-18,15.78
2013-06-19,14.516
2013-06-20,25.428
2013-06-21,0.0
2013-06-22,20.824
2013-06-23,0.0
2013-06-24,18.396
2013-06-25,28.604
2013-06-26,10.28
2013-06-27,7.316
2013-06-28,8.644
2013-06-29,10.16
2013-06-30,8.944
2013-07-01,24.064
2013-07-02,14.48
2013-07-03,16.616
2013-07-04,26.336
2013-07-05,23.188
2013-07-06,11.612
2013-07-07,14.044
2013-07-08,21.012
2013-07-09,16.588
2013-07-10,7.812
2013-07-11,11.372
2013-07-12,0.0
2013-07-13,14.876
2013-07-14,0.0
2013-07-15,0.0
2013-07-16,28.496
2013-07-17,9.532
2013-07-18,15.168
2013-07-19,8.728
2013-07-20,0.0
2013-07-21,0.0
2013-07-22,0.0
2013-07-23,17.376
2013-07-24,25.312
2013-07-25,7.684
2013-07-26,0.0
2013-07-27,0.0
2013-07-28,8.352
2013-07-29,19.944
2013-07-30,13.784
2013-07-31,6.808
2013-08-01,15.9
2013-08-02,0.0
2013-08-03,31.508
2013-08-04,0.0
2013-08-05,23.696
2013-08-06,21.512
2013-08-07,7.26
2013-08-08,18.564
2013-08-09,23.768
