Date,Cortus
2014-03-21,40.148
2014-03-22,4.28
2014-03-23,3.948
2014-03-24,11.792
2014-03-25,34.004
2014-03-26,35.58
2014-03-27,12.136
2014-03-28,0.0
2014-03-29,17.808
2014-03-30,0.0
2014-03-31,14.324
2014-04-01,5.336
2014-04-02,35.664
2014-04-03,35.58
2014-04-04,49.124
2014-04-05,0.0
2014-04-06,3.692
2014-04-07,0.0
2014-04-08,21.912
2014-04-09,12.316
2014-04-10,0.0
2014-04-11,46.988
2014-04-12,15.796
2014-04-13,16.26
2014-04-14,20.968
2014-04-15,29.452
2014-04-16,0.0
2014-04-17,4.028
2014-04-18,0.0
2014-04-19,0.0
2014-04-20,0.0
2014-04-21,30.36
2014-04-22,29.452
2014-04-23,2.58
2014-04-24,0.0
2014-04-25,0.0
2014-04-26,9.188
2014-04-27,31.616
2014-04-28,0.0
2014-04-29,0.0
2014-04-30,0.0
2014-05-01,13.868
2014-05-02,16.26
2014-05-03,3.172
2014-05-04,7.3
2014-05-05,2.48
2014-05-06,12.584
2014-05-07,2.504
2014-05-08,2.54
2014-05-09,0.0
2014-05-10,19.896
2014-05-11,13.688
2014-05-12,40.984
2014-05-13,38.912
2014-05-14,17.304
2014-05-15,13.476
2014-05-16,0.0
2014-05-17,20.604
2014-05-18,19.2
2014-05-19,0.0
2014-05-20,32.232
2014-05-21,24.388
2014-05-22,34.376
2014-05-23,0.0
2014-05-24,10.532
2014-05-25,12.36
2014-05-26,2.804
2014-05-27,0.0
2014-05-28,3.336
2014-05-29,0.0
2014-05-30,0.0
2014-05-31,23.992
2014-06-01,4.18
2014-06-02,16.788
2014-06-03,19.24
2014-06-04,0.0
2014-06-05,0.0
2014-06-06,0.0
2014-06-07,0.0
2014-06-08,32.24
2014-06-09,0.0
2014-06-10,18.7
2014-06-11,39.98
2014-06-12,3.796
2014-06-13,17.148
2014-06-14,0.0
2014-06-15,0.0
2014-06-16,0.0
2014-06-17,0.0
2014-06-18,9.664
2014-06-19,4.156
2014-06-20,0.0
2014-06-21,19.848
2014-06-22,14.22
2014-06-23,0.0
2014-06-24,32.984
2014-06-25,23.068
2014-06-26,20.044
2014-06-27,0.0
2014-06-28,0.0
2014-06-29,0.0
2014-06-30,5.32
2014-07-01,35.044
2014-07-02,19.62
2014-07-03,27.752
2014-07-04,0.0
2014-07-05,0.0
2014-07-06,0.0
2014-07-07,38.212
2014-07-08,25.152
2014-07-09,21.716
2014-07-10,0.0
2014-07-11,0.0
2014-07-12,24.156
2014-07-13,0.0
2014-07-14,19.836
2014-07-15,17.86
2014-07-16,5.124
2014-07-17,7.116
2014-07-18,26.44
2014-07-19,0.0
2014-07-20,0.0
2014-07-21,22.936
2014-07-22,21.756
2014-07-23,36.016
2014-07-24,30.616
2014-07-25,36.112
2014-07-26,39.356
2014-07-27,0.0
2014-07-28,27.276
2014-07-29,0.0
2014-07-30,22.2
2014-07-31,0.0
2014-08-01,44.372
2014-08-02,23.112
2014-08-03,10.992
2014-08-04,35.62
2014-08-05,0.0
2014-08-06,0.0
2014-08-07,28.036
2014-08-08,18.744
2014-08-09,5.688
2014-08-10,21.244
2014-08-11,20.076
2014-08-12,0.0
2014-08-13,16.964
2014-08-14,43.768
2014-08-15,53.688
2014-08-16,43.94
2014-08-17,0.0
2014-08-18,18.468
2014-08-19,53.024
2014-08-20,0.0
2014-08-21,29.412
2014-08-22,0.0
2014-08-23,0.0
2014-08-24,36.16
2014-08-25,34.504
2014-08-26,37.8
2014-08-27,4.416
2014-08-28,27.492
2014-08-29,35.936
2014-08-30,0.0
2014-08-31,21.16
2014-09-01,4.168
2014-09-02,35.752
2014-09-03,17.688
2014-09-04,0.0
2014-09-05,0.0
2014-09-06,0.0
2014-09-07,5.176
2014-09-08,18.904
2014-09-09,34.608
2014-09-10,32.764
2014-09-11,0.0
2014-09-12,0.0
2014-09-13,19.964
2014-09-14,19.248
2014-09-15,15.94
2014-09-16,17.664
2014-09-17,39.22
2014-09-18,58.58
2014-09-19,24.308
2014-09-20,0.0
2014-09-21,19.916
2014-09-22,16.336
2014-09-23,7.78
2014-09-24,0.0
2014-09-25,0.0
2014-09-26,27.88
2014-09-27,0.0
2014-09-28,4.528
2014-09-29,29.32
2014-09-30,27.992
2014-10-01,23.996
2014-10-02,35.692
2014-10-03,19.296
2014-10-04,0.0
2014-10-05,17.708
2014-10-06,7.252
2014-10-07,3.276
2014-10-08,3.408
2014-10-09,0.0
2014-10-10,18.296
2014-10-11,0.0
2014-10-12,0.0
2014-10-13,21.572
2014-10-14,4.172
2014-10-15,17.312
2014-10-16,15.796
2014-10-17,18.972
2014-10-18,0.0
2014-10-19,0.0
2014-10-20,3.648
2014-10-21,22.496
2014-10-22,6.708
2014-10-23,28.284
2014-10-24,0.0
2014-10-25,0.0
2014-10-26,0.0
2014-10-27,26.444
2014-10-28,0.0
2014-10-29,0.0
2014-10-30,0.0
2014-10-31,0.0
2014-11-01,4.456
2014-11-02,0.0
2014-11-03,10.312
2014-11-04,41.096
2014-11-05,21.332
2014-11-06,19.032
2014-11-07,0.0
2014-11-08,5.124
2014-11-09,18.124
2014-11-10,0.0
2014-11-11,3.928
2014-11-12,0.0
2014-11-13,0.0
2014-11-14,0.0
2014-11-15,0.0
2014-11-16,22.46
2014-11-17,16.34
2014-11-18,0.0
2014-11-19,16.696
2014-11-20,3.96
2014-11-21,0.0
2014-11-22,0.0
2014-11-23,0.0
2014-11-24,33.996
2014-11-25,19.616
2014-11-26,0.0
2014-11-27,17.872
2014-11-28,27.692
2014-11-29,0.0
2014-11-30,19.668
2014-12-01,0.0
2014-12-02,4.184
2014-12-03,19.112
2014-12-04,9.108
2014-12-05,27.424
2014-12-06,0.0
2014-12-07,0.0
2014-12-08,17.104
2014-12-09,17.444
2014-12-10,18.984
2014-12-11,21.884
2014-12-12,4.564
2014-12-13,0.0
2014-12-14,0.0
2014-12-15,0.0
2014-12-16,0.0
2014-12-17,0.0
2014-12-18,39.724
2014-12-19,29.884
2014-12-20,23.204
2014-12-21,0.0
2014-12-22,51.928
2014-12-23,0.0
2014-12-24,0.0
2014-12-25,5.1
2014-12-26,21.524
2014-12-27,0.0
2014-12-28,0.0
2014-12-29,8.024
2014-12-30,0.0
2014-12-31,0.0
2015-01-01,0.0
2015-01-02,0.0
2015-01-03,0.0
2015-01-04,4.08
2015-01-05,0.0
2015-01-06,0.0
2015-01-07,16.692
2015-01-08,16.392
2015-01-09,3.004
2015-01-10,0.0
2015-01-11,34.54
2015-01-12,35.264
2015-01-13,36.2
2015-01-14,16.928
2015-01-15,0.0
2015-01-16,19.108
2015-01-17,0.0
2015-01-18,16.276
2015-01-19,3.776
2015-01-20,45.272
2015-01-21,16.196
2015-01-22,35.14
2015-01-23,2.736
2015-01-24,18.2
2015-01-25,0.0
2015-01-26,0.0
2015-01-27,0.0
2015-01-28,0.0
2015-01-29,22.376
2015-01-30,0.0
2015-01-31,22.568
2015-02-01,18.396
2015-02-02,15.892
2015-02-03,0.0
2015-02-04,18.52
2015-02-05,18.54
2015-02-06,17.508
2015-02-07,0.0
2015-02-08,0.0
2015-02-09,0.0
2015-02-10,3.704
2015-02-11,28.124
2015-02-12,42.896
2015-02-13,18.048
2015-02-14,23.48
2015-02-15,0.0
2015-02-16,20.644
2015-02-17,35.684
2015-02-18,51.096
2015-02-19,0.0
2015-02-20,0.0
2015-02-21,0.0
2015-02-22,26.444
2015-02-23,13.356
2015-02-24,17.864
2015-02-25,0.0
2015-02-26,18.236
2015-02-27,3.724
2015-02-28,19.932
2015-03-01,0.0
2015-03-02,49.188
2015-03-03,16.868
2015-03-04,35.16
2015-03-05,15.652
2015-03-06,26.228
2015-03-07,0.0
2015-03-08,0.0
2015-03-09,18.452
2015-03-10,0.0
2015-03-11,16.512
2015-03-12,3.5
2015-03-13,18.404
2015-03-14,22.492
2015-03-15,0.0
2015-03-16,16.68
2015-03-17,15.128
2015-03-18,15.44
2015-03-19,25.452
2015-03-20,18.452
2015-03-21,27.84
2015-03-22,0.0
2015-03-23,4.048
2015-03-24,15.336
2015-03-25,42.328
2015-03-26,6.936
2015-03-27,0.0
2015-03-28,0.0
2015-03-29,19.148
2015-03-30,17.576
2015-03-31,0.0
2015-04-01,0.0
2015-04-02,0.0
2015-04-03,21.1
2015-04-04,0.0
2015-04-05,20.62
2015-04-06,16.732
2015-04-07,34.284
2015-04-08,15.6
2015-04-09,3.528
2015-04-10,0.0
2015-04-11,0.0
2015-04-12,0.0
2015-04-13,13.912
2015-04-14,0.0
2015-04-15,61.724
2015-04-16,36.988
2015-04-17,20.968
2015-04-18,0.0
2015-04-19,17.772
2015-04-20,18.728
2015-04-21,14.604
2015-04-22,14.988
2015-04-23,21.772
2015-04-24,8.032
2015-04-25,19.816
2015-04-26,0.0
2015-04-27,0.0
2015-04-28,0.0
2015-04-29,42.716
2015-04-30,15.448
2015-05-01,0.0
2015-05-02,16.472
2015-05-03,0.0
2015-05-04,15.252
