,Google Trend
2013-04-28,6.96
2013-04-29,29.468
2013-04-30,35.884
2013-05-01,24.044
2013-05-02,11.26
2013-05-03,38.492
2013-05-04,8.076
2013-05-05,17.536
2013-05-06,8.708
2013-05-07,23.224
2013-05-08,17.36
2013-05-09,14.72
2013-05-10,15.164
2013-05-11,9.872
2013-05-12,25.468
2013-05-13,34.416
2013-05-14,37.868
2013-05-15,31.652
2013-05-16,44.964
2013-05-17,37.244
2013-05-18,29.304
2013-05-19,8.344
2013-05-20,32.46
2013-05-21,27.02
2013-05-22,34.5
2013-05-23,35.296
2013-05-24,24.024
2013-05-25,2.324
2013-05-26,18.112
2013-05-27,54.36
2013-05-28,50.372
2013-05-29,23.832
2013-05-30,36.324
2013-05-31,27.044
2013-06-01,36.016
2013-06-02,0.0
2013-06-03,37.148
2013-06-04,32.196
2013-06-05,17.536
2013-06-06,0.0
2013-06-07,21.64
2013-06-08,0.0
2013-06-09,0.0
2013-06-10,31.46
2013-06-11,45.596
2013-06-12,34.124
2013-06-13,19.884
2013-06-14,23.68
2013-06-15,0.0
2013-06-16,33.836
2013-06-17,13.68
2013-06-18,15.348
2013-06-19,23.7
2013-06-20,0.0
2013-06-21,9.508
2013-06-22,25.208
2013-06-23,14.9
2013-06-24,45.62
2013-06-25,14.092
2013-06-26,25.772
2013-06-27,21.764
2013-06-28,20.104
2013-06-29,9.28
2013-06-30,0.0
2013-07-01,27.304
2013-07-02,23.508
2013-07-03,11.316
2013-07-04,15.196
2013-07-05,20.428
2013-07-06,18.676
2013-07-07,0.0
2013-07-08,14.5
2013-07-09,16.424
2013-07-10,22.02
2013-07-11,24.768
2013-07-12,25.66
2013-07-13,10.212
2013-07-14,0.0
2013-07-15,23.896
2013-07-16,43.952
2013-07-17,38.224
2013-07-18,25.376
2013-07-19,21.92
2013-07-20,34.296
2013-07-21,0.0
2013-07-22,16.572
2013-07-23,20.796
2013-07-24,25.86
2013-07-25,0.0
2013-07-26,8.772
2013-07-27,8.228
2013-07-28,7.14
2013-07-29,14.536
2013-07-30,0.0
2013-07-31,7.448
2013-08-01,0.0
2013-08-02,18.204
2013-08-03,10.052
2013-08-04,0.0
2013-08-05,17.152
2013-08-06,6.936
2013-08-07,22.092
2013-08-08,0.0
2013-08-09,7.248
2013-08-10,7.684
2013-08-11,0.0
2013-08-12,0.0
2013-08-13,12.36
2013-08-14,0.0
2013-08-15,5.972
2013-08-16,12.836
2013-08-17,0.0
2013-08-18,0.0
2013-08-19,0.0
2013-08-20,19.996
2013-08-21,19.712
2013-08-22,15.608
2013-08-23,34.74
2013-08-24,23.568
2013-08-25,10.788
2013-08-26,10.984
2013-08-27,33.724
2013-08-28,17.372
2013-08-29,5.144
2013-08-30,19.088
2013-08-31,31.96
2013-09-01,19.64
2013-09-02,18.04
2013-09-03,0.0
2013-09-04,19.424
2013-09-05,0.0
2013-09-06,26.428
2013-09-07,8.084
2013-09-08,22.616
2013-09-09,14.916
2013-09-10,25.652
2013-09-11,11.82
2013-09-12,26.856
2013-09-13,19.472
2013-09-14,21.224
2013-09-15,18.684
2013-09-16,0.0
2013-09-17,18.736
2013-09-18,52.132
2013-09-19,8.488
2013-09-20,12.512
2013-09-21,8.136
2013-09-22,9.412
2013-09-23,25.312
2013-09-24,30.516
2013-09-25,17.676
2013-09-26,0.0
2013-09-27,16.424
2013-09-28,23.672
2013-09-29,6.176
2013-09-30,19.004
2013-10-01,20.248
2013-10-02,27.36
2013-10-03,11.156
2013-10-04,5.628
2013-10-05,12.296
2013-10-06,11.272
2013-10-07,0.0
2013-10-08,11.592
2013-10-09,17.524
2013-10-10,0.0
2013-10-11,22.608
2013-10-12,7.66
2013-10-13,13.24
2013-10-14,25.232
2013-10-15,16.916
2013-10-16,8.696
2013-10-17,27.256
2013-10-18,32.636
2013-10-19,12.404
2013-10-20,7.004
2013-10-21,14.012
2013-10-22,4.936
2013-10-23,18.356
2013-10-24,28.044
2013-10-25,23.408
2013-10-26,7.156
2013-10-27,8.928
2013-10-28,17.676
2013-10-29,5.292
2013-10-30,11.616
2013-10-31,0.0
2013-11-01,0.0
2013-11-02,6.184
2013-11-03,5.496
2013-11-04,13.144
2013-11-05,30.744
2013-11-06,13.072
2013-11-07,14.516
2013-11-08,11.56
2013-11-09,0.0
2013-11-10,19.116
2013-11-11,22.192
2013-11-12,16.812
2013-11-13,12.472
2013-11-14,10.56
2013-11-15,25.232
2013-11-16,5.148
2013-11-17,8.532
2013-11-18,11.54
2013-11-19,21.792
2013-11-20,17.68
2013-11-21,28.284
2013-11-22,22.848
2013-11-23,16.264
2013-11-24,23.712
2013-11-25,24.352
2013-11-26,26.544
2013-11-27,28.308
2013-11-28,47.076
2013-11-29,19.272
2013-11-30,9.016
2013-12-01,5.532
2013-12-02,34.132
2013-12-03,9.016
2013-12-04,34.804
2013-12-05,13.04
2013-12-06,13.128
2013-12-07,0.0
2013-12-08,0.0
2013-12-09,25.82
2013-12-10,13.232
2013-12-11,14.868
2013-12-12,13.868
2013-12-13,4.292
2013-12-14,8.384
2013-12-15,14.452
2013-12-16,20.268
2013-12-17,10.868
2013-12-18,20.308
2013-12-19,26.384
2013-12-20,19.62
2013-12-21,5.428
2013-12-22,15.424
2013-12-23,12.232
2013-12-24,18.82
2013-12-25,16.208
2013-12-26,18.508
2013-12-27,7.376
2013-12-28,10.38
2013-12-29,11.424
2013-12-30,19.552
2013-12-31,0.0
2014-01-01,15.328
2014-01-02,16.164
2014-01-03,7.36
2014-01-04,7.04
2014-01-05,6.46
2014-01-06,10.072
2014-01-07,15.532
2014-01-08,13.432
2014-01-09,14.376
2014-01-10,5.88
2014-01-11,0.0
2014-01-12,4.316
2014-01-13,7.94
2014-01-14,12.42
2014-01-15,10.532
2014-01-16,11.624
2014-01-17,60.236
2014-01-18,66.184
2014-01-19,31.092
2014-01-20,52.148
2014-01-21,19.74
2014-01-22,31.172
2014-01-23,16.208
2014-01-24,16.396
2014-01-25,19.332
2014-01-26,8.992
2014-01-27,19.74
2014-01-28,27.304
2014-01-29,14.748
2014-01-30,8.876
2014-01-31,8.316
2014-02-01,13.304
2014-02-02,11.444
2014-02-03,19.42
2014-02-04,19.64
2014-02-05,17.06
2014-02-06,7.376
2014-02-07,15.392
2014-02-08,13.48
2014-02-09,7.156
2014-02-10,11.228
2014-02-11,22.544
2014-02-12,11.704
2014-02-13,17.748
2014-02-14,23.64
2014-02-15,16.944
2014-02-16,20.02
2014-02-17,15.184
2014-02-18,5.688
2014-02-19,14.56
2014-02-20,19.784
2014-02-21,11.416
2014-02-22,10.244
2014-02-23,12.204
2014-02-24,23.792
2014-02-25,32.988
2014-02-26,27.8
2014-02-27,16.928
2014-02-28,12.424
2014-03-01,10.072
2014-03-02,15.1
2014-03-03,11.224
2014-03-04,16.08
2014-03-05,9.44
2014-03-06,10.644
2014-03-07,11.22
2014-03-08,9.188
2014-03-09,7.184
2014-03-10,8.864
2014-03-11,10.2
2014-03-12,10.7
2014-03-13,5.284
2014-03-14,9.024
2014-03-15,6.448
2014-03-16,11.476
2014-03-17,14.852
2014-03-18,12.148
2014-03-19,0.0
2014-03-20,18.432
2014-03-21,12.704
2014-03-22,4.424
2014-03-23,6.66
2014-03-24,8.152
2014-03-25,14.38
2014-03-26,12.268
2014-03-27,13.092
2014-03-28,14.516
2014-03-29,5.972
2014-03-30,12.936
2014-03-31,14.824
2014-04-01,9.036
2014-04-02,11.764
2014-04-03,9.856
2014-04-04,10.332
2014-04-05,9.548
2014-04-06,3.156
2014-04-07,17.96
2014-04-08,10.896
2014-04-09,13.304
2014-04-10,15.488
2014-04-11,11.7
2014-04-12,10.344
2014-04-13,6.696
2014-04-14,15.184
2014-04-15,9.352
2014-04-16,7.448
2014-04-17,10.272
2014-04-18,9.22
2014-04-19,10.18
2014-04-20,8.728
2014-04-21,10.18
2014-04-22,15.268
2014-04-23,9.7
2014-04-24,10.076
2014-04-25,18.16
2014-04-26,6.188
2014-04-27,18.264
2014-04-28,9.712
2014-04-29,9.356
2014-04-30,2.42
2014-05-01,9.092
2014-05-02,12.696
2014-05-03,0.0
2014-05-04,2.176
2014-05-05,9.204
2014-05-06,16.368
2014-05-07,10.076
2014-05-08,7.196
2014-05-09,4.24
2014-05-10,6.576
2014-05-11,2.308
2014-05-12,9.7
2014-05-13,2.852
2014-05-14,14.316
2014-05-15,2.38
2014-05-16,3.804
2014-05-17,4.028
2014-05-18,5.372
2014-05-19,5.652
2014-05-20,6.172
2014-05-21,8.036
2014-05-22,2.56
2014-05-23,2.396
2014-05-24,5.912
2014-05-25,3.848
2014-05-26,9.628
2014-05-27,8.104
2014-05-28,6.852
2014-05-29,5.196
2014-05-30,10.292
2014-05-31,5.152
2014-06-01,7.676
2014-06-02,5.108
2014-06-03,5.652
2014-06-04,10.52
2014-06-05,5.048
2014-06-06,3.464
2014-06-07,0.0
2014-06-08,3.56
2014-06-09,12.704
2014-06-10,13.212
2014-06-11,8.668
2014-06-12,7.208
2014-06-13,7.872
2014-06-14,2.604
2014-06-15,0.0
2014-06-16,2.936
2014-06-17,9.668
2014-06-18,12.056
2014-06-19,6.468
2014-06-20,5.624
2014-06-21,8.528
2014-06-22,2.86
2014-06-23,8.824
2014-06-24,10.796
2014-06-25,3.892
2014-06-26,8.024
2014-06-27,6.556
2014-06-28,9.544
2014-06-29,3.624
2014-06-30,6.528
2014-07-01,9.772
2014-07-02,100.0
2014-07-03,33.676
2014-07-04,20.568
2014-07-05,12.412
2014-07-06,10.772
2014-07-07,15.848
2014-07-08,10.968
2014-07-09,13.092
2014-07-10,14.94
2014-07-11,17.484
2014-07-12,12.136
2014-07-13,8.488
2014-07-14,15.172
2014-07-15,13.908
2014-07-16,9.416
2014-07-17,19.028
2014-07-18,22.584
2014-07-19,20.836
2014-07-20,18.124
2014-07-21,18.908
2014-07-22,16.124
2014-07-23,10.876
2014-07-24,16.428
2014-07-25,19.068
2014-07-26,15.38
2014-07-27,9.908
2014-07-28,15.056
2014-07-29,8.336
2014-07-30,12.632
2014-07-31,7.26
2014-08-01,4.248
2014-08-02,8.42
2014-08-03,5.448
2014-08-04,6.38
2014-08-05,13.712
2014-08-06,4.188
2014-08-07,15.044
2014-08-08,11.188
2014-08-09,11.564
2014-08-10,7.404
2014-08-11,12.58
2014-08-12,8.932
2014-08-13,9.18
2014-08-14,6.24
2014-08-15,4.448
2014-08-16,2.944
2014-08-17,5.208
2014-08-18,5.956
2014-08-19,2.368
2014-08-20,9.276
2014-08-21,11.728
2014-08-22,14.044
2014-08-23,2.704
2014-08-24,6.732
2014-08-25,11.612
2014-08-26,9.012
2014-08-27,12.344
2014-08-28,12.004
2014-08-29,3.14
2014-08-30,0.0
2014-08-31,6.224
2014-09-01,11.604
2014-09-02,9.116
2014-09-03,13.108
2014-09-04,17.352
2014-09-05,12.852
2014-09-06,9.916
2014-09-07,5.564
2014-09-08,16.032
2014-09-09,14.78
2014-09-10,21.188
2014-09-11,3.124
2014-09-12,12.708
2014-09-13,9.34
2014-09-14,10.764
2014-09-15,2.428
