,Google Trend
2013-04-28,0.0
2013-04-29,0.0
2013-04-30,8.232
2013-05-01,16.352
2013-05-02,2.1
2013-05-03,14.312
2013-05-04,0.0
2013-05-05,2.684
2013-05-06,13.844
2013-05-07,10.188
2013-05-08,1.644
2013-05-09,14.904
2013-05-10,7.544
2013-05-11,0.0
2013-05-12,0.0
2013-05-13,3.096
2013-05-14,0.0
2013-05-15,13.012
2013-05-16,1.464
2013-05-17,0.0
2013-05-18,7.6
2013-05-19,10.976
2013-05-20,12.248
2013-05-21,5.088
2013-05-22,6.688
2013-05-23,17.496
2013-05-24,24.192
2013-05-25,8.988
2013-05-26,11.004
2013-05-27,12.436
2013-05-28,7.208
2013-05-29,9.152
2013-05-30,14.088
2013-05-31,9.572
2013-06-01,8.556
2013-06-02,19.6
2013-06-03,27.556
2013-06-04,54.56
2013-06-05,36.164
2013-06-06,20.52
2013-06-07,27.064
2013-06-08,16.484
2013-06-09,9.384
2013-06-10,46.036
2013-06-11,33.896
2013-06-12,20.604
2013-06-13,42.952
2013-06-14,21.392
2013-06-15,20.188
2013-06-16,22.784
2013-06-17,21.188
2013-06-18,20.628
2013-06-19,22.164
2013-06-20,13.608
2013-06-21,9.192
2013-06-22,19.96
2013-06-23,10.792
2013-06-24,27.488
2013-06-25,27.136
2013-06-26,16.796
2013-06-27,24.844
2013-06-28,9.212
2013-06-29,20.272
2013-06-30,3.944
2013-07-01,10.964
2013-07-02,18.268
2013-07-03,8.588
2013-07-04,11.348
2013-07-05,20.504
2013-07-06,2.652
2013-07-07,6.996
2013-07-08,12.24
2013-07-09,14.876
2013-07-10,26.256
2013-07-11,7.156
2013-07-12,24.736
2013-07-13,2.168
2013-07-14,5.656
2013-07-15,6.284
2013-07-16,18.976
2013-07-17,23.552
2013-07-18,16.82
2013-07-19,8.168
2013-07-20,10.328
2013-07-21,18.196
2013-07-22,13.36
2013-07-23,22.432
2013-07-24,24.116
2013-07-25,12.24
2013-07-26,12.208
2013-07-27,23.896
2013-07-28,11.48
2013-07-29,13.66
2013-07-30,20.656
2013-07-31,22.432
2013-08-01,18.78
2013-08-02,19.964
2013-08-03,19.192
2013-08-04,11.824
2013-08-05,16.896
2013-08-06,10.86
2013-08-07,14.916
2013-08-08,18.288
2013-08-09,6.592
2013-08-10,5.032
2013-08-11,11.308
2013-08-12,10.78
2013-08-13,5.972
2013-08-14,17.028
2013-08-15,5.92
2013-08-16,13.236
2013-08-17,5.152
2013-08-18,1.268
2013-08-19,11.788
2013-08-20,14.02
2013-08-21,17.844
2013-08-22,22.772
2013-08-23,13.2
2013-08-24,5.276
2013-08-25,5.916
2013-08-26,18.2
2013-08-27,10.812
2013-08-28,10.824
2013-08-29,21.636
2013-08-30,18.34
2013-08-31,5.08
2013-09-01,11.612
