Date,Impact Coatings
2013-04-27,0.0
2013-04-28,28.344
2013-04-29,41.676
2013-04-30,26.1
2013-05-01,12.196
2013-05-02,25.488
2013-05-03,0.0
2013-05-04,0.0
2013-05-05,18.884
2013-05-06,0.0
2013-05-07,9.256
2013-05-08,16.712
2013-05-09,0.0
2013-05-10,0.0
2013-05-11,12.152
2013-05-12,26.776
2013-05-13,9.292
2013-05-14,27.316
2013-05-15,40.372
2013-05-16,40.284
2013-05-17,28.06
2013-05-18,11.452
2013-05-19,11.084
2013-05-20,28.308
2013-05-21,19.032
2013-05-22,23.068
2013-05-23,32.676
2013-05-24,27.784
2013-05-25,13.74
2013-05-26,13.684
2013-05-27,17.284
2013-05-28,32.464
2013-05-29,34.204
2013-05-30,33.312
2013-05-31,0.0
2013-06-01,14.08
2013-06-02,0.0
2013-06-03,30.796
2013-06-04,23.692
2013-06-05,55.64
2013-06-06,12.636
2013-06-07,0.0
2013-06-08,0.0
2013-06-09,11.572
2013-06-10,21.008
2013-06-11,19.092
2013-06-12,19.6
2013-06-13,0.0
2013-06-14,23.344
2013-06-15,0.0
2013-06-16,0.0
2013-06-17,0.0
2013-06-18,24.18
2013-06-19,11.52
2013-06-20,30.052
2013-06-21,0.0
2013-06-22,0.0
2013-06-23,12.44
2013-06-24,9.5
2013-06-25,16.152
2013-06-26,11.76
2013-06-27,11.744
2013-06-28,11.08
2013-06-29,13.66
2013-06-30,0.0
2013-07-01,9.804
2013-07-02,11.896
2013-07-03,20.804
2013-07-04,21.312
2013-07-05,10.3
2013-07-06,16.348
2013-07-07,0.0
2013-07-08,11.808
2013-07-09,19.736
2013-07-10,0.0
2013-07-11,0.0
2013-07-12,0.0
2013-07-13,15.376
2013-07-14,11.436
2013-07-15,0.0
2013-07-16,12.756
2013-07-17,11.296
2013-07-18,25.892
2013-07-19,22.392
2013-07-20,14.832
2013-07-21,0.0
2013-07-22,18.176
2013-07-23,0.0
2013-07-24,23.936
2013-07-25,20.536
2013-07-26,11.568
2013-07-27,0.0
2013-07-28,0.0
2013-07-29,0.0
2013-07-30,25.956
2013-07-31,31.248
2013-08-01,9.68
2013-08-02,24.464
2013-08-03,0.0
2013-08-04,0.0
2013-08-05,24.768
2013-08-06,10.344
2013-08-07,0.0
2013-08-08,18.388
2013-08-09,0.0
2013-08-10,11.728
2013-08-11,0.0
2013-08-12,19.664
2013-08-13,9.156
2013-08-14,0.0
2013-08-15,10.768
2013-08-16,26.432
2013-08-17,13.656
2013-08-18,0.0
2013-08-19,7.844
2013-08-20,16.204
2013-08-21,32.516
2013-08-22,26.98
2013-08-23,18.26
2013-08-24,0.0
2013-08-25,9.76
2013-08-26,35.86
2013-08-27,0.0
2013-08-28,17.928
2013-08-29,9.592
2013-08-30,11.128
2013-08-31,0.0
2013-09-01,0.0
2013-09-02,0.0
2013-09-03,16.896
2013-09-04,33.64
2013-09-05,26.204
2013-09-06,11.8
2013-09-07,11.552
2013-09-08,0.0
2013-09-09,17.296
2013-09-10,30.856
2013-09-11,22.096
2013-09-12,10.724
2013-09-13,16.912
2013-09-14,0.0
2013-09-15,19.848
2013-09-16,25.296
2013-09-17,23.816
2013-09-18,24.456
2013-09-19,10.116
2013-09-20,9.12
2013-09-21,31.432
2013-09-22,0.0
2013-09-23,22.644
2013-09-24,8.264
2013-09-25,0.0
2013-09-26,36.808
2013-09-27,25.376
2013-09-28,0.0
2013-09-29,10.208
2013-09-30,16.632
2013-10-01,68.6
2013-10-02,31.24
2013-10-03,37.576
2013-10-04,0.0
2013-10-05,0.0
2013-10-06,12.328
2013-10-07,17.056
2013-10-08,17.136
2013-10-09,39.46
2013-10-10,16.276
2013-10-11,11.944
2013-10-12,0.0
2013-10-13,12.484
2013-10-14,32.728
2013-10-15,20.556
2013-10-16,23.96
2013-10-17,50.024
2013-10-18,48.928
2013-10-19,15.524
2013-10-20,8.532
2013-10-21,23.564
2013-10-22,22.952
2013-10-23,45.424
2013-10-24,34.844
2013-10-25,17.064
2013-10-26,0.0
2013-10-27,11.528
2013-10-28,30.944
2013-10-29,24.752
2013-10-30,34.772
2013-10-31,0.0
2013-11-01,0.0
2013-11-02,0.0
2013-11-03,11.988
2013-11-04,23.916
2013-11-05,15.44
2013-11-06,16.348
2013-11-07,11.228
2013-11-08,12.072
2013-11-09,22.536
2013-11-10,31.14
2013-11-11,41.716
2013-11-12,77.064
2013-11-13,56.444
2013-11-14,35.708
2013-11-15,35.768
2013-11-16,26.628
2013-11-17,12.516
2013-11-18,32.972
2013-11-19,33.908
2013-11-20,11.28
2013-11-21,11.428
2013-11-22,9.12
2013-11-23,0.0
2013-11-24,25.136
2013-11-25,14.936
2013-11-26,10.976
2013-11-27,26.588
2013-11-28,16.636
2013-11-29,25.744
2013-11-30,0.0
2013-12-01,12.58
2013-12-02,24.336
2013-12-03,34.512
2013-12-04,24.788
2013-12-05,22.84
2013-12-06,7.544
2013-12-07,14.064
2013-12-08,22.004
2013-12-09,16.604
2013-12-10,10.688
2013-12-11,7.948
2013-12-12,0.0
2013-12-13,9.564
2013-12-14,0.0
2013-12-15,0.0
2013-12-16,15.504
2013-12-17,0.0
2013-12-18,38.208
2013-12-19,19.716
2013-12-20,12.368
2013-12-21,10.264
2013-12-22,0.0
2013-12-23,34.356
2013-12-24,0.0
2013-12-25,0.0
2013-12-26,13.932
2013-12-27,0.0
2013-12-28,0.0
2013-12-29,13.208
2013-12-30,12.5
2013-12-31,0.0
2014-01-01,0.0
2014-01-02,6.912
2014-01-03,0.0
2014-01-04,12.692
2014-01-05,13.384
2014-01-06,0.0
2014-01-07,0.0
2014-01-08,0.0
2014-01-09,0.0
2014-01-10,21.896
2014-01-11,0.0
2014-01-12,12.268
2014-01-13,22.792
2014-01-14,14.464
2014-01-15,15.008
2014-01-16,16.304
2014-01-17,13.66
2014-01-18,0.0
2014-01-19,14.072
2014-01-20,22.236
