,Google Trend
2013-04-28,28.132
2013-04-29,0.0
2013-04-30,8.872
2013-05-01,10.368
2013-05-02,19.012
2013-05-03,21.124
2013-05-04,0.0
2013-05-05,0.0
2013-05-06,9.848
2013-05-07,31.36
2013-05-08,0.0
2013-05-09,0.0
2013-05-10,31.048
2013-05-11,0.0
2013-05-12,9.6
2013-05-13,8.492
2013-05-14,9.036
2013-05-15,20.836
2013-05-16,17.088
2013-05-17,19.832
2013-05-18,0.0
2013-05-19,19.364
2013-05-20,0.0
2013-05-21,24.86
2013-05-22,33.228
2013-05-23,27.352
2013-05-24,25.988
2013-05-25,0.0
2013-05-26,10.04
2013-05-27,13.536
2013-05-28,34.064
2013-05-29,0.0
2013-05-30,34.584
2013-05-31,0.0
2013-06-01,0.0
2013-06-02,0.0
2013-06-03,33.06
2013-06-04,0.0
2013-06-05,0.0
2013-06-06,10.952
2013-06-07,17.36
2013-06-08,0.0
2013-06-09,0.0
2013-06-10,27.968
2013-06-11,22.0
2013-06-12,16.076
2013-06-13,8.804
2013-06-14,15.296
2013-06-15,0.0
2013-06-16,0.0
2013-06-17,14.104
2013-06-18,0.0
2013-06-19,29.364
2013-06-20,0.0
2013-06-21,0.0
2013-06-22,0.0
2013-06-23,0.0
2013-06-24,0.0
2013-06-25,9.388
2013-06-26,13.556
2013-06-27,0.0
2013-06-28,0.0
2013-06-29,0.0
2013-06-30,9.416
2013-07-01,0.0
2013-07-02,8.984
2013-07-03,0.0
2013-07-04,0.0
2013-07-05,0.0
2013-07-06,0.0
2013-07-07,0.0
2013-07-08,0.0
2013-07-09,0.0
2013-07-10,15.404
2013-07-11,0.0
2013-07-12,10.636
2013-07-13,0.0
2013-07-14,19.792
2013-07-15,0.0
2013-07-16,0.0
2013-07-17,0.0
2013-07-18,16.544
2013-07-19,0.0
2013-07-20,0.0
2013-07-21,0.0
2013-07-22,0.0
2013-07-23,20.296
2013-07-24,0.0
2013-07-25,36.536
2013-07-26,0.0
2013-07-27,0.0
2013-07-28,0.0
2013-07-29,0.0
2013-07-30,0.0
2013-07-31,0.0
2013-08-01,0.0
2013-08-02,0.0
2013-08-03,0.0
2013-08-04,10.48
2013-08-05,12.592
2013-08-06,0.0
2013-08-07,0.0
2013-08-08,0.0
2013-08-09,0.0
2013-08-10,14.976
2013-08-11,13.372
2013-08-12,11.288
2013-08-13,0.0
2013-08-14,0.0
2013-08-15,12.32
2013-08-16,0.0
2013-08-17,13.66
2013-08-18,0.0
2013-08-19,12.976
2013-08-20,35.364
2013-08-21,0.0
2013-08-22,20.804
2013-08-23,11.78
2013-08-24,0.0
2013-08-25,0.0
2013-08-26,19.516
2013-08-27,0.0
2013-08-28,0.0
2013-08-29,10.516
2013-08-30,0.0
2013-08-31,0.0
2013-09-01,0.0
2013-09-02,0.0
2013-09-03,0.0
2013-09-04,0.0
2013-09-05,11.188
2013-09-06,0.0
2013-09-07,0.0
2013-09-08,0.0
2013-09-09,8.74
2013-09-10,22.26
2013-09-11,5.928
2013-09-12,0.0
2013-09-13,6.796
2013-09-14,13.968
2013-09-15,0.0
2013-09-16,9.124
2013-09-17,0.0
2013-09-18,0.0
2013-09-19,0.0
2013-09-20,6.344
2013-09-21,0.0
2013-09-22,0.0
2013-09-23,0.0
2013-09-24,0.0
2013-09-25,9.568
2013-09-26,0.0
2013-09-27,0.0
2013-09-28,0.0
2013-09-29,7.672
2013-09-30,0.0
2013-10-01,0.0
2013-10-02,0.0
2013-10-03,0.0
2013-10-04,20.824
2013-10-05,12.884
2013-10-06,0.0
2013-10-07,0.0
2013-10-08,0.0
2013-10-09,15.432
2013-10-10,5.096
2013-10-11,0.0
2013-10-12,0.0
2013-10-13,0.0
2013-10-14,9.36
2013-10-15,6.84
2013-10-16,13.276
2013-10-17,0.0
2013-10-18,0.0
2013-10-19,19.976
2013-10-20,8.728
2013-10-21,0.0
2013-10-22,4.444
2013-10-23,0.0
2013-10-24,7.776
2013-10-25,7.228
2013-10-26,8.88
2013-10-27,0.0
2013-10-28,9.352
2013-10-29,0.0
2013-10-30,6.888
2013-10-31,0.0
2013-11-01,6.592
2013-11-02,7.868
2013-11-03,5.364
2013-11-04,0.0
2013-11-05,6.36
2013-11-06,3.772
2013-11-07,0.0
2013-11-08,12.22
2013-11-09,0.0
2013-11-10,0.0
