,Google Trend
2013-04-28,6.916
2013-04-29,0.0
2013-04-30,0.0
2013-05-01,26.788
2013-05-02,6.468
2013-05-03,10.376
2013-05-04,0.0
2013-05-05,20.672
2013-05-06,22.856
2013-05-07,36.484
2013-05-08,12.064
2013-05-09,41.636
2013-05-10,31.108
2013-05-11,7.492
2013-05-12,0.0
2013-05-13,5.664
2013-05-14,11.872
2013-05-15,20.292
2013-05-16,28.276
2013-05-17,33.24
2013-05-18,14.564
2013-05-19,16.744
2013-05-20,10.828
2013-05-21,16.224
2013-05-22,34.34
2013-05-23,32.768
2013-05-24,6.18
2013-05-25,21.172
2013-05-26,12.748
2013-05-27,22.896
2013-05-28,43.192
2013-05-29,40.188
2013-05-30,42.436
2013-05-31,38.504
2013-06-01,0.0
2013-06-02,6.62
2013-06-03,34.256
2013-06-04,11.628
2013-06-05,20.148
2013-06-06,14.876
2013-06-07,18.3
2013-06-08,0.0
2013-06-09,13.804
2013-06-10,11.776
2013-06-11,39.1
2013-06-12,20.3
2013-06-13,20.772
2013-06-14,21.988
2013-06-15,13.864
2013-06-16,29.64
2013-06-17,45.26
2013-06-18,26.984
2013-06-19,35.956
2013-06-20,57.772
2013-06-21,29.316
2013-06-22,44.68
2013-06-23,6.876
2013-06-24,15.248
2013-06-25,25.36
2013-06-26,35.248
2013-06-27,19.14
2013-06-28,31.308
2013-06-29,22.88
2013-06-30,6.808
2013-07-01,0.0
2013-07-02,21.856
2013-07-03,25.292
2013-07-04,15.232
2013-07-05,17.044
2013-07-06,17.6
2013-07-07,7.504
2013-07-08,12.34
2013-07-09,24.472
2013-07-10,0.0
2013-07-11,0.0
2013-07-12,0.0
2013-07-13,8.176
2013-07-14,31.316
2013-07-15,14.468
2013-07-16,6.708
2013-07-17,18.868
2013-07-18,26.996
2013-07-19,14.288
2013-07-20,16.596
2013-07-21,7.452
2013-07-22,0.0
2013-07-23,18.28
2013-07-24,10.712
2013-07-25,15.008
2013-07-26,14.892
2013-07-27,7.928
2013-07-28,31.368
2013-07-29,9.196
2013-07-30,14.956
2013-07-31,27.404
2013-08-01,44.068
2013-08-02,43.028
2013-08-03,4.5
2013-08-04,37.176
2013-08-05,38.848
2013-08-06,32.196
2013-08-07,12.236
2013-08-08,34.376
2013-08-09,61.58
2013-08-10,46.308
2013-08-11,27.26
2013-08-12,37.004
2013-08-13,14.26
2013-08-14,2.844
2013-08-15,33.396
2013-08-16,21.832
2013-08-17,10.7
2013-08-18,27.116
2013-08-19,25.56
2013-08-20,24.044
2013-08-21,20.84
2013-08-22,19.8
2013-08-23,36.452
2013-08-24,7.928
2013-08-25,12.584
2013-08-26,20.604
2013-08-27,26.852
2013-08-28,8.46
2013-08-29,33.776
2013-08-30,25.72
2013-08-31,17.804
2013-09-01,23.516
2013-09-02,25.344
2013-09-03,45.088
2013-09-04,43.744
2013-09-05,18.192
2013-09-06,16.48
2013-09-07,0.0
2013-09-08,2.54
2013-09-09,20.908
2013-09-10,12.86
