,Google Trend
2013-04-28,12.78
2013-04-29,22.568
2013-04-30,24.492
2013-05-01,20.168
2013-05-02,19.012
2013-05-03,28.68
2013-05-04,30.272
2013-05-05,22.244
2013-05-06,31.116
2013-05-07,20.144
2013-05-08,24.608
2013-05-09,15.332
2013-05-10,24.98
2013-05-11,13.2
2013-05-12,17.628
2013-05-13,30.192
2013-05-14,22.56
2013-05-15,24.216
2013-05-16,19.148
2013-05-17,14.04
2013-05-18,17.548
2013-05-19,10.18
2013-05-20,26.84
2013-05-21,27.4
2013-05-22,19.324
2013-05-23,26.092
2013-05-24,25.136
2013-05-25,18.132
2013-05-26,19.752
2013-05-27,17.416
2013-05-28,27.748
2013-05-29,16.704
2013-05-30,12.22
2013-05-31,16.564
2013-06-01,13.516
2013-06-02,15.088
2013-06-03,17.9
2013-06-04,15.836
2013-06-05,23.8
2013-06-06,19.004
2013-06-07,18.076
2013-06-08,13.512
2013-06-09,12.636
2013-06-10,42.36
2013-06-11,35.8
2013-06-12,23.116
2013-06-13,22.488
2013-06-14,34.724
2013-06-15,32.776
2013-06-16,27.456
2013-06-17,44.76
2013-06-18,33.612
2013-06-19,24.988
2013-06-20,23.684
2013-06-21,11.104
2013-06-22,9.828
2013-06-23,15.92
2013-06-24,14.548
2013-06-25,21.044
2013-06-26,13.128
2013-06-27,22.664
2013-06-28,28.52
2013-06-29,16.16
2013-06-30,19.476
2013-07-01,16.896
2013-07-02,10.964
2013-07-03,24.196
2013-07-04,24.616
2013-07-05,25.416
2013-07-06,13.24
2013-07-07,20.64
2013-07-08,15.428
2013-07-09,22.952
2013-07-10,18.36
2013-07-11,26.348
2013-07-12,21.676
2013-07-13,13.388
2013-07-14,13.752
2013-07-15,24.884
2013-07-16,18.964
2013-07-17,31.048
2013-07-18,26.48
2013-07-19,32.916
2013-07-20,19.416
2013-07-21,28.384
2013-07-22,37.576
2013-07-23,29.14
2013-07-24,32.8
2013-07-25,26.828
2013-07-26,19.94
2013-07-27,13.564
2013-07-28,17.4
2013-07-29,22.212
2013-07-30,25.112
2013-07-31,22.412
2013-08-01,27.2
2013-08-02,20.42
2013-08-03,18.684
2013-08-04,15.708
2013-08-05,24.316
2013-08-06,27.412
2013-08-07,29.276
2013-08-08,26.532
2013-08-09,17.3
2013-08-10,8.336
2013-08-11,14.888
2013-08-12,18.116
2013-08-13,17.62
2013-08-14,12.828
2013-08-15,11.076
2013-08-16,15.452
2013-08-17,9.316
2013-08-18,15.56
2013-08-19,15.204
2013-08-20,22.332
2013-08-21,24.248
2013-08-22,23.468
2013-08-23,14.512
2013-08-24,15.488
2013-08-25,20.972
2013-08-26,27.164
2013-08-27,15.66
2013-08-28,28.652
2013-08-29,29.7
2013-08-30,31.972
2013-08-31,17.308
2013-09-01,14.512
2013-09-02,22.34
2013-09-03,32.324
2013-09-04,51.42
2013-09-05,66.236
2013-09-06,38.816
2013-09-07,17.384
2013-09-08,26.292
2013-09-09,44.804
2013-09-10,99.944
2013-09-11,71.316
2013-09-12,50.656
2013-09-13,39.356
2013-09-14,12.152
2013-09-15,24.268
2013-09-16,23.744
2013-09-17,46.012
2013-09-18,32.696
2013-09-19,38.872
2013-09-20,25.048
2013-09-21,17.692
2013-09-22,16.868
2013-09-23,50.224
2013-09-24,36.94
2013-09-25,25.272
2013-09-26,33.532
2013-09-27,24.364
2013-09-28,6.948
2013-09-29,10.632
2013-09-30,23.808
2013-10-01,25.988
2013-10-02,26.708
2013-10-03,29.684
2013-10-04,21.456
2013-10-05,12.044
2013-10-06,9.86
2013-10-07,28.812
2013-10-08,17.344
2013-10-09,17.448
2013-10-10,35.5
2013-10-11,43.808
2013-10-12,15.708
2013-10-13,10.996
2013-10-14,25.64
2013-10-15,25.284
2013-10-16,27.452
2013-10-17,31.628
2013-10-18,18.212
2013-10-19,14.832
2013-10-20,19.888
2013-10-21,24.58
2013-10-22,30.684
2013-10-23,32.94
2013-10-24,23.504
2013-10-25,17.552
2013-10-26,12.676
2013-10-27,10.304
2013-10-28,23.348
2013-10-29,19.812
2013-10-30,19.752
2013-10-31,16.204
2013-11-01,14.512
2013-11-02,2.796
2013-11-03,7.176
2013-11-04,11.236
2013-11-05,13.824
2013-11-06,6.684
2013-11-07,14.812
2013-11-08,30.2
2013-11-09,11.424
2013-11-10,18.648
2013-11-11,13.288
2013-11-12,14.156
2013-11-13,19.924
2013-11-14,21.516
2013-11-15,25.596
2013-11-16,13.46
2013-11-17,18.072
2013-11-18,19.38
2013-11-19,15.708
2013-11-20,12.964
2013-11-21,20.68
2013-11-22,17.788
2013-11-23,8.664
2013-11-24,11.272
2013-11-25,21.376
2013-11-26,11.78
2013-11-27,16.016
2013-11-28,18.468
2013-11-29,21.788
2013-11-30,6.892
2013-12-01,1.688
2013-12-02,9.184
2013-12-03,11.0
2013-12-04,8.708
2013-12-05,15.596
2013-12-06,35.464
2013-12-07,14.396
