,Google Trend
2013-04-28,0.0
2013-04-29,9.652
2013-04-30,18.572
2013-05-01,0.0
2013-05-02,0.0
2013-05-03,0.0
2013-05-04,0.0
2013-05-05,0.0
2013-05-06,0.0
2013-05-07,0.0
2013-05-08,0.0
2013-05-09,40.768
2013-05-10,0.0
2013-05-11,0.0
2013-05-12,0.0
2013-05-13,0.0
2013-05-14,0.0
2013-05-15,0.0
2013-05-16,40.512
2013-05-17,11.332
2013-05-18,12.324
2013-05-19,11.088
2013-05-20,37.496
2013-05-21,0.0
2013-05-22,11.748
2013-05-23,0.0
2013-05-24,16.508
2013-05-25,0.0
2013-05-26,0.0
2013-05-27,14.808
2013-05-28,11.564
2013-05-29,19.676
2013-05-30,0.0
2013-05-31,0.0
2013-06-01,0.0
2013-06-02,0.0
2013-06-03,35.42
2013-06-04,18.996
2013-06-05,0.0
2013-06-06,0.0
2013-06-07,0.0
2013-06-08,0.0
2013-06-09,0.0
2013-06-10,11.38
2013-06-11,0.0
2013-06-12,16.604
2013-06-13,0.0
2013-06-14,14.152
2013-06-15,0.0
2013-06-16,0.0
2013-06-17,0.0
2013-06-18,0.0
2013-06-19,17.128
2013-06-20,0.0
2013-06-21,0.0
2013-06-22,0.0
2013-06-23,0.0
2013-06-24,0.0
2013-06-25,0.0
2013-06-26,0.0
2013-06-27,0.0
2013-06-28,0.0
2013-06-29,0.0
2013-06-30,0.0
2013-07-01,16.492
2013-07-02,22.06
2013-07-03,9.048
2013-07-04,0.0
2013-07-05,0.0
2013-07-06,0.0
2013-07-07,0.0
2013-07-08,0.0
2013-07-09,32.14
2013-07-10,15.92
2013-07-11,17.84
2013-07-12,14.388
2013-07-13,0.0
2013-07-14,0.0
2013-07-15,0.0
2013-07-16,22.616
2013-07-17,0.0
2013-07-18,0.0
2013-07-19,0.0
2013-07-20,0.0
2013-07-21,0.0
2013-07-22,0.0
2013-07-23,17.288
2013-07-24,0.0
2013-07-25,48.356
2013-07-26,0.0
2013-07-27,0.0
2013-07-28,0.0
2013-07-29,22.056
2013-07-30,18.972
2013-07-31,0.0
2013-08-01,13.44
2013-08-02,0.0
2013-08-03,27.152
2013-08-04,0.0
2013-08-05,0.0
2013-08-06,0.0
2013-08-07,20.176
2013-08-08,0.0
2013-08-09,12.148
2013-08-10,0.0
2013-08-11,0.0
2013-08-12,9.88
2013-08-13,23.024
2013-08-14,10.856
2013-08-15,0.0
2013-08-16,21.152
2013-08-17,0.0
2013-08-18,0.0
2013-08-19,25.936
2013-08-20,0.0
2013-08-21,19.412
2013-08-22,0.0
2013-08-23,53.632
2013-08-24,0.0
2013-08-25,27.28
2013-08-26,16.416
2013-08-27,35.16
2013-08-28,36.34
