,Google Trend
2013-04-28,17.216
2013-04-29,21.192
2013-04-30,27.26
2013-05-01,24.384
2013-05-02,28.28
2013-05-03,32.696
2013-05-04,22.584
2013-05-05,32.16
2013-05-06,58.168
2013-05-07,56.676
2013-05-08,65.844
2013-05-09,35.588
2013-05-10,36.848
2013-05-11,26.2
2013-05-12,23.44
2013-05-13,22.268
2013-05-14,31.364
2013-05-15,36.416
2013-05-16,56.684
2013-05-17,56.644
2013-05-18,25.936
2013-05-19,22.976
2013-05-20,50.236
2013-05-21,37.388
2013-05-22,31.688
2013-05-23,27.616
2013-05-24,20.992
2013-05-25,27.076
2013-05-26,27.548
2013-05-27,42.384
2013-05-28,65.268
2013-05-29,49.316
2013-05-30,26.232
2013-05-31,16.336
2013-06-01,20.064
2013-06-02,25.6
2013-06-03,31.424
2013-06-04,30.66
2013-06-05,32.492
2013-06-06,27.268
2013-06-07,37.128
2013-06-08,30.956
2013-06-09,22.368
2013-06-10,37.008
2013-06-11,23.452
2013-06-12,46.88
2013-06-13,23.512
2013-06-14,23.736
2013-06-15,14.488
2013-06-16,18.392
2013-06-17,29.644
2013-06-18,35.0
2013-06-19,29.988
2013-06-20,21.188
2013-06-21,39.604
2013-06-22,17.524
2013-06-23,26.084
2013-06-24,20.364
2013-06-25,15.396
2013-06-26,34.66
2013-06-27,24.22
2013-06-28,26.972
2013-06-29,21.188
2013-06-30,20.312
2013-07-01,32.128
2013-07-02,26.96
2013-07-03,43.844
2013-07-04,28.948
2013-07-05,43.864
2013-07-06,20.944
2013-07-07,17.16
2013-07-08,28.324
2013-07-09,29.76
2013-07-10,23.936
2013-07-11,36.624
2013-07-12,16.064
2013-07-13,8.232
2013-07-14,19.86
2013-07-15,22.5
2013-07-16,46.852
2013-07-17,26.008
2013-07-18,19.312
2013-07-19,19.904
2013-07-20,7.688
2013-07-21,13.368
2013-07-22,23.612
2013-07-23,21.496
2013-07-24,29.496
2013-07-25,19.936
2013-07-26,27.2
2013-07-27,8.812
2013-07-28,12.42
2013-07-29,12.6
2013-07-30,19.576
2013-07-31,26.748
2013-08-01,28.56
2013-08-02,23.992
2013-08-03,15.632
2013-08-04,17.66
2013-08-05,29.12
2013-08-06,31.632
2013-08-07,51.756
2013-08-08,16.576
2013-08-09,23.52
2013-08-10,26.16
2013-08-11,28.116
2013-08-12,30.528
2013-08-13,33.508
2013-08-14,28.116
2013-08-15,31.3
2013-08-16,41.672
2013-08-17,27.02
2013-08-18,34.584
2013-08-19,74.256
2013-08-20,67.672
2013-08-21,66.92
2013-08-22,75.536
2013-08-23,49.24
2013-08-24,30.176
2013-08-25,34.28
2013-08-26,72.228
2013-08-27,93.912
2013-08-28,66.992
2013-08-29,64.844
2013-08-30,52.224
2013-08-31,24.168
2013-09-01,27.148
2013-09-02,33.728
2013-09-03,21.092
2013-09-04,32.616
2013-09-05,26.308
2013-09-06,27.656
2013-09-07,15.04
2013-09-08,25.164
2013-09-09,27.936
2013-09-10,37.888
2013-09-11,39.88
2013-09-12,28.164
2013-09-13,26.076
2013-09-14,18.404
2013-09-15,18.984
2013-09-16,15.912
2013-09-17,21.34
2013-09-18,27.22
2013-09-19,25.752
2013-09-20,23.62
2013-09-21,15.708
2013-09-22,19.472
2013-09-23,37.232
2013-09-24,15.572
2013-09-25,13.492
2013-09-26,20.784
2013-09-27,20.408
2013-09-28,14.604
2013-09-29,20.312
2013-09-30,26.38
2013-10-01,25.288
2013-10-02,25.56
2013-10-03,31.632
2013-10-04,30.336
2013-10-05,18.368
