,Google Trend
2013-04-28,12.024
2013-04-29,11.716
2013-04-30,13.18
2013-05-01,11.048
2013-05-02,6.836
2013-05-03,0.0
2013-05-04,7.944
2013-05-05,3.156
2013-05-06,16.864
2013-05-07,7.38
2013-05-08,5.404
2013-05-09,12.872
2013-05-10,7.556
2013-05-11,9.412
2013-05-12,13.896
2013-05-13,11.792
2013-05-14,14.424
2013-05-15,16.484
2013-05-16,15.952
2013-05-17,2.968
2013-05-18,5.38
2013-05-19,7.908
2013-05-20,8.108
2013-05-21,11.224
2013-05-22,8.028
2013-05-23,18.888
2013-05-24,14.92
2013-05-25,19.056
2013-05-26,7.108
2013-05-27,8.212
2013-05-28,13.856
2013-05-29,18.712
2013-05-30,16.82
2013-05-31,16.692
2013-06-01,5.808
2013-06-02,9.228
2013-06-03,14.996
2013-06-04,11.552
2013-06-05,12.248
2013-06-06,5.86
2013-06-07,13.712
2013-06-08,0.0
2013-06-09,10.948
2013-06-10,20.892
2013-06-11,20.104
2013-06-12,6.88
2013-06-13,18.996
2013-06-14,15.172
2013-06-15,5.512
2013-06-16,7.212
2013-06-17,16.276
2013-06-18,14.496
2013-06-19,16.092
2013-06-20,9.5
2013-06-21,0.0
2013-06-22,11.812
2013-06-23,9.088
2013-06-24,24.376
2013-06-25,8.724
2013-06-26,9.56
2013-06-27,14.428
2013-06-28,14.148
2013-06-29,0.0
2013-06-30,16.192
2013-07-01,4.064
2013-07-02,17.612
2013-07-03,12.228
2013-07-04,8.472
2013-07-05,18.86
2013-07-06,0.0
2013-07-07,5.928
2013-07-08,9.616
2013-07-09,15.212
2013-07-10,7.196
2013-07-11,15.468
2013-07-12,7.284
2013-07-13,8.412
2013-07-14,15.92
2013-07-15,4.768
2013-07-16,8.32
2013-07-17,6.064
2013-07-18,10.676
2013-07-19,7.208
2013-07-20,9.308
2013-07-21,21.2
2013-07-22,17.656
2013-07-23,17.868
2013-07-24,15.768
2013-07-25,20.008
2013-07-26,18.732
2013-07-27,13.64
2013-07-28,10.34
2013-07-29,7.524
2013-07-30,16.756
2013-07-31,13.4
2013-08-01,24.256
2013-08-02,19.048
2013-08-03,9.296
2013-08-04,19.232
2013-08-05,12.072
2013-08-06,25.784
2013-08-07,33.536
2013-08-08,38.444
2013-08-09,42.012
2013-08-10,7.852
2013-08-11,16.824
2013-08-12,21.248
2013-08-13,36.44
2013-08-14,26.26
2013-08-15,16.008
2013-08-16,24.12
2013-08-17,20.796
2013-08-18,22.612
2013-08-19,27.36
2013-08-20,19.78
2013-08-21,35.712
2013-08-22,22.348
2013-08-23,20.86
2013-08-24,18.58
2013-08-25,14.992
2013-08-26,15.92
2013-08-27,20.768
2013-08-28,20.216
2013-08-29,41.412
2013-08-30,21.992
2013-08-31,18.092
2013-09-01,16.192
2013-09-02,21.072
2013-09-03,25.728
2013-09-04,19.068
2013-09-05,28.404
2013-09-06,17.824
2013-09-07,21.876
2013-09-08,20.936
2013-09-09,23.384
2013-09-10,42.064
2013-09-11,17.824
2013-09-12,28.572
2013-09-13,99.312
2013-09-14,35.108
2013-09-15,25.78
2013-09-16,48.616
2013-09-17,31.98
2013-09-18,46.256
2013-09-19,68.912
2013-09-20,27.296
2013-09-21,20.884
2013-09-22,17.204
2013-09-23,27.104
2013-09-24,34.0
2013-09-25,23.372
2013-09-26,26.024
2013-09-27,15.276
2013-09-28,4.552
2013-09-29,10.324
2013-09-30,25.956
2013-10-01,27.812
2013-10-02,18.132
2013-10-03,26.524
2013-10-04,20.52
2013-10-05,15.316
2013-10-06,13.132
2013-10-07,14.664
2013-10-08,12.108
2013-10-09,11.1
2013-10-10,15.976
2013-10-11,13.236
2013-10-12,14.944
2013-10-13,7.968
2013-10-14,14.68
2013-10-15,10.488
2013-10-16,17.176
2013-10-17,38.596
2013-10-18,35.308
2013-10-19,17.144
2013-10-20,19.312
2013-10-21,25.24
2013-10-22,24.216
2013-10-23,20.072
2013-10-24,25.072
2013-10-25,27.08
2013-10-26,25.76
2013-10-27,17.744
2013-10-28,27.248
2013-10-29,30.096
2013-10-30,31.1
2013-10-31,27.076
2013-11-01,22.868
2013-11-02,22.176
2013-11-03,19.308
2013-11-04,29.092
2013-11-05,20.216
2013-11-06,23.092
2013-11-07,22.316
2013-11-08,18.396
2013-11-09,14.376
2013-11-10,12.904
2013-11-11,14.444
2013-11-12,19.432
2013-11-13,23.06
2013-11-14,39.96
2013-11-15,43.8
2013-11-16,8.96
2013-11-17,18.944
2013-11-18,37.772
2013-11-19,28.984
2013-11-20,37.588
2013-11-21,74.416
2013-11-22,43.188
2013-11-23,18.94
2013-11-24,33.528
2013-11-25,27.812
2013-11-26,29.448
2013-11-27,25.704
2013-11-28,22.028
2013-11-29,25.416
2013-11-30,14.916
2013-12-01,13.2
2013-12-02,11.904
2013-12-03,21.916
2013-12-04,15.58
2013-12-05,8.788
2013-12-06,18.372
2013-12-07,16.5
2013-12-08,10.888
2013-12-09,17.584
2013-12-10,17.028
2013-12-11,12.048
2013-12-12,11.112
2013-12-13,16.864
2013-12-14,9.168
2013-12-15,16.148
2013-12-16,11.052
2013-12-17,18.528
2013-12-18,22.736
2013-12-19,14.236
2013-12-20,17.932
2013-12-21,27.368
2013-12-22,14.664
2013-12-23,11.664
2013-12-24,19.448
2013-12-25,15.88
2013-12-26,11.072
2013-12-27,11.204
2013-12-28,14.328
2013-12-29,11.14
2013-12-30,22.604
2013-12-31,18.624
2014-01-01,7.44
2014-01-02,19.5
2014-01-03,16.8
2014-01-04,9.028
2014-01-05,13.344
2014-01-06,18.436
2014-01-07,17.928
2014-01-08,27.916
2014-01-09,22.6
2014-01-10,31.208
2014-01-11,10.94
2014-01-12,18.748
2014-01-13,29.244
2014-01-14,15.92
2014-01-15,23.18
2014-01-16,21.476
2014-01-17,23.168
2014-01-18,10.068
2014-01-19,9.076
2014-01-20,15.072
2014-01-21,21.452
2014-01-22,22.0
2014-01-23,22.46
2014-01-24,12.508
2014-01-25,7.468
2014-01-26,8.54
2014-01-27,20.808
2014-01-28,15.768
2014-01-29,16.16
2014-01-30,17.672
2014-01-31,14.244
2014-02-01,12.236
2014-02-02,8.128
2014-02-03,16.364
2014-02-04,28.84
2014-02-05,26.248
2014-02-06,28.376
2014-02-07,16.736
2014-02-08,15.12
2014-02-09,17.12
2014-02-10,18.752
2014-02-11,14.844
2014-02-12,26.572
2014-02-13,18.436
2014-02-14,20.336
2014-02-15,11.868
2014-02-16,11.996
2014-02-17,19.236
2014-02-18,19.456
2014-02-19,19.636
2014-02-20,30.232
2014-02-21,23.376
2014-02-22,8.672
2014-02-23,17.452
2014-02-24,19.264
2014-02-25,28.296
2014-02-26,28.696
2014-02-27,85.68
2014-02-28,36.952
2014-03-01,18.236
2014-03-02,11.656
2014-03-03,13.856
2014-03-04,14.956
2014-03-05,16.768
2014-03-06,11.288
2014-03-07,17.764
2014-03-08,5.404
2014-03-09,5.624
2014-03-10,10.112
2014-03-11,15.64
2014-03-12,11.392
2014-03-13,11.048
2014-03-14,19.956
2014-03-15,8.756
2014-03-16,3.74
2014-03-17,10.716
2014-03-18,14.796
2014-03-19,34.692
2014-03-20,19.716
2014-03-21,20.176
2014-03-22,8.788
2014-03-23,15.876
2014-03-24,17.764
2014-03-25,21.1
2014-03-26,20.944
2014-03-27,11.484
2014-03-28,12.104
2014-03-29,4.008
2014-03-30,8.444
2014-03-31,9.796
2014-04-01,7.984
2014-04-02,17.692
2014-04-03,6.024
2014-04-04,14.428
2014-04-05,0.0
2014-04-06,10.892
2014-04-07,19.944
2014-04-08,12.196
2014-04-09,13.576
2014-04-10,12.344
2014-04-11,18.1
2014-04-12,12.8
2014-04-13,0.0
2014-04-14,18.428
2014-04-15,13.1
2014-04-16,17.912
2014-04-17,12.452
2014-04-18,8.376
2014-04-19,4.736
2014-04-20,3.764
2014-04-21,12.168
2014-04-22,17.308
2014-04-23,13.164
2014-04-24,14.596
2014-04-25,14.016
2014-04-26,12.752
2014-04-27,11.988
2014-04-28,13.54
2014-04-29,13.452
2014-04-30,23.984
2014-05-01,1.468
2014-05-02,17.64
2014-05-03,0.0
2014-05-04,8.74
2014-05-05,13.448
2014-05-06,13.7
2014-05-07,15.94
2014-05-08,26.664
2014-05-09,18.888
2014-05-10,13.34
2014-05-11,11.976
2014-05-12,11.572
2014-05-13,12.444
2014-05-14,28.26
2014-05-15,34.644
2014-05-16,20.048
2014-05-17,6.192
2014-05-18,13.18
2014-05-19,11.612
2014-05-20,16.272
2014-05-21,16.808
2014-05-22,15.14
2014-05-23,22.632
2014-05-24,12.04
2014-05-25,10.488
2014-05-26,19.38
2014-05-27,15.744
2014-05-28,32.232
2014-05-29,18.672
2014-05-30,22.488
2014-05-31,16.016
2014-06-01,17.392
2014-06-02,12.776
2014-06-03,13.736
2014-06-04,16.596
2014-06-05,6.376
2014-06-06,12.736
2014-06-07,21.068
2014-06-08,12.408
2014-06-09,19.8
2014-06-10,22.52
2014-06-11,19.68
2014-06-12,19.652
2014-06-13,18.704
2014-06-14,9.612
2014-06-15,19.376
2014-06-16,23.412
2014-06-17,16.232
2014-06-18,15.728
2014-06-19,19.384
2014-06-20,18.796
2014-06-21,16.752
2014-06-22,21.428
2014-06-23,15.564
2014-06-24,18.924
2014-06-25,21.328
2014-06-26,12.648
2014-06-27,23.992
2014-06-28,18.184
2014-06-29,20.096
2014-06-30,21.02
2014-07-01,28.224
2014-07-02,11.172
2014-07-03,31.96
2014-07-04,17.668
2014-07-05,18.168
2014-07-06,21.864
2014-07-07,21.268
2014-07-08,21.98
2014-07-09,22.672
2014-07-10,21.92
2014-07-11,27.18
2014-07-12,15.836
2014-07-13,17.592
2014-07-14,23.856
2014-07-15,27.036
2014-07-16,22.148
2014-07-17,18.148
2014-07-18,29.24
2014-07-19,20.456
2014-07-20,14.92
2014-07-21,24.232
2014-07-22,21.608
2014-07-23,19.124
2014-07-24,20.392
2014-07-25,32.232
2014-07-26,15.344
2014-07-27,18.852
2014-07-28,40.424
2014-07-29,19.4
2014-07-30,44.168
2014-07-31,32.592
2014-08-01,27.596
2014-08-02,14.68
2014-08-03,14.532
2014-08-04,37.784
2014-08-05,28.736
2014-08-06,27.284
2014-08-07,39.184
2014-08-08,31.724
2014-08-09,23.212
2014-08-10,15.544
2014-08-11,35.844
2014-08-12,35.368
2014-08-13,63.504
2014-08-14,97.104
2014-08-15,50.7
2014-08-16,18.892
2014-08-17,29.752
2014-08-18,30.108
2014-08-19,50.224
2014-08-20,29.652
2014-08-21,27.064
2014-08-22,28.272
2014-08-23,11.02
2014-08-24,9.788
2014-08-25,31.136
2014-08-26,24.548
2014-08-27,36.18
2014-08-28,68.168
2014-08-29,24.192
2014-08-30,11.344
2014-08-31,29.324
2014-09-01,51.48
2014-09-02,35.532
2014-09-03,28.068
2014-09-04,26.968
2014-09-05,17.868
2014-09-06,12.616
2014-09-07,20.104
2014-09-08,16.448
2014-09-09,20.452
2014-09-10,19.016
2014-09-11,28.804
2014-09-12,13.688
2014-09-13,20.704
2014-09-14,13.06
2014-09-15,20.772
2014-09-16,18.456
2014-09-17,16.524
2014-09-18,15.06
2014-09-19,16.7
2014-09-20,11.624
2014-09-21,10.936
2014-09-22,19.2
2014-09-23,22.316
2014-09-24,31.376
2014-09-25,19.52
2014-09-26,9.928
2014-09-27,18.54
2014-09-28,2.196
2014-09-29,19.824
2014-09-30,18.368
2014-10-01,23.86
2014-10-02,25.288
2014-10-03,20.68
2014-10-04,4.596
2014-10-05,13.016
2014-10-06,26.884
2014-10-07,22.888
2014-10-08,15.312
2014-10-09,15.796
2014-10-10,16.008
2014-10-11,6.868
2014-10-12,10.8
2014-10-13,20.424
2014-10-14,14.296
2014-10-15,14.196
2014-10-16,17.756
2014-10-17,27.052
2014-10-18,22.884
2014-10-19,19.136
2014-10-20,23.68
2014-10-21,20.656
2014-10-22,19.824
2014-10-23,24.632
2014-10-24,19.868
2014-10-25,9.916
2014-10-26,13.064
2014-10-27,19.58
2014-10-28,20.484
2014-10-29,16.032
2014-10-30,17.72
2014-10-31,15.74
2014-11-01,12.132
2014-11-02,8.272
2014-11-03,16.204
2014-11-04,14.616
2014-11-05,17.568
2014-11-06,18.344
2014-11-07,26.092
2014-11-08,22.696
2014-11-09,14.736
2014-11-10,19.02
2014-11-11,21.98
2014-11-12,17.008
2014-11-13,69.58
2014-11-14,23.192
2014-11-15,20.904
2014-11-16,24.36
2014-11-17,19.02
2014-11-18,16.528
2014-11-19,17.372
2014-11-20,22.524
2014-11-21,20.632
2014-11-22,18.18
2014-11-23,10.848
2014-11-24,13.76
2014-11-25,19.788
2014-11-26,14.792
2014-11-27,11.052
2014-11-28,18.844
2014-11-29,9.908
2014-11-30,14.628
2014-12-01,13.012
2014-12-02,15.088
2014-12-03,9.968
2014-12-04,12.132
2014-12-05,13.852
2014-12-06,3.548
2014-12-07,6.028
2014-12-08,15.728
2014-12-09,15.936
2014-12-10,21.656
2014-12-11,16.292
2014-12-12,12.34
2014-12-13,12.424
2014-12-14,11.912
2014-12-15,9.284
2014-12-16,11.592
2014-12-17,13.416
2014-12-18,8.488
2014-12-19,14.092
2014-12-20,6.216
2014-12-21,11.648
2014-12-22,15.416
2014-12-23,24.268
2014-12-24,0.0
2014-12-25,6.136
2014-12-26,3.744
2014-12-27,12.016
2014-12-28,13.888
2014-12-29,27.176
2014-12-30,17.964
2014-12-31,18.676
2015-01-01,12.244
2015-01-02,12.036
2015-01-03,8.304
2015-01-04,7.984
2015-01-05,13.084
2015-01-06,6.4
2015-01-07,8.884
2015-01-08,15.928
2015-01-09,13.032
2015-01-10,13.56
2015-01-11,0.0
2015-01-12,9.068
2015-01-13,11.768
2015-01-14,10.14
2015-01-15,7.42
2015-01-16,17.368
2015-01-17,7.14
2015-01-18,15.58
2015-01-19,17.364
2015-01-20,6.396
2015-01-21,10.024
2015-01-22,8.812
2015-01-23,11.548
2015-01-24,10.908
2015-01-25,13.404
2015-01-26,13.412
2015-01-27,10.128
2015-01-28,9.332
2015-01-29,11.864
2015-01-30,11.916
2015-01-31,3.864
2015-02-01,9.14
2015-02-02,11.168
2015-02-03,10.404
2015-02-04,10.492
2015-02-05,12.452
2015-02-06,14.444
2015-02-07,9.208
2015-02-08,7.7
2015-02-09,14.552
2015-02-10,14.728
2015-02-11,14.788
2015-02-12,27.956
2015-02-13,19.344
2015-02-14,22.16
2015-02-15,14.532
2015-02-16,13.94
2015-02-17,10.988
2015-02-18,17.204
2015-02-19,14.06
2015-02-20,23.496
2015-02-21,13.232
2015-02-22,15.052
2015-02-23,13.848
2015-02-24,6.496
2015-02-25,16.288
2015-02-26,35.972
2015-02-27,7.896
2015-02-28,15.176
2015-03-01,9.528
2015-03-02,14.984
2015-03-03,10.336
2015-03-04,17.588
2015-03-05,14.068
2015-03-06,21.608
2015-03-07,3.712
2015-03-08,13.364
2015-03-09,9.048
2015-03-10,13.692
2015-03-11,8.872
2015-03-12,16.412
2015-03-13,20.228
2015-03-14,10.528
2015-03-15,8.54
2015-03-16,34.4
2015-03-17,16.94
2015-03-18,20.64
2015-03-19,20.196
2015-03-20,10.368
2015-03-21,16.104
2015-03-22,14.212
2015-03-23,41.82
2015-03-24,30.648
2015-03-25,29.524
2015-03-26,18.04
2015-03-27,17.704
2015-03-28,16.552
2015-03-29,11.744
2015-03-30,21.324
2015-03-31,24.452
2015-04-01,30.624
2015-04-02,47.872
2015-04-03,33.828
2015-04-04,26.548
2015-04-05,31.356
2015-04-06,18.228
2015-04-07,34.112
2015-04-08,39.692
2015-04-09,29.988
2015-04-10,37.512
2015-04-11,11.24
2015-04-12,14.816
2015-04-13,34.712
2015-04-14,29.096
2015-04-15,21.32
2015-04-16,21.296
2015-04-17,21.196
2015-04-18,21.824
2015-04-19,14.16
2015-04-20,28.82
2015-04-21,40.164
2015-04-22,29.932
2015-04-23,26.36
2015-04-24,29.812
2015-04-25,12.784
2015-04-26,19.272
2015-04-27,36.6
2015-04-28,35.856
2015-04-29,41.344
2015-04-30,42.28
2015-05-01,25.704
2015-05-02,16.38
2015-05-03,18.5
2015-05-04,49.756
2015-05-05,28.196
2015-05-06,30.988
2015-05-07,49.544
2015-05-08,31.876
2015-05-09,23.476
2015-05-10,21.272
2015-05-11,50.512
2015-05-12,41.292
2015-05-13,58.46
2015-05-14,23.424
2015-05-15,55.608
2015-05-16,27.72
2015-05-17,24.24
2015-05-18,46.368
2015-05-19,47.464
