Date, Storytel
2014-03-21,27.876
2014-03-22,54.648
2014-03-23,35.148
2014-03-24,46.828
2014-03-25,29.868
2014-03-26,31.108
2014-03-27,43.72
2014-03-28,34.228
2014-03-29,34.744
2014-03-30,37.908
2014-03-31,43.472
2014-04-01,39.62
2014-04-02,30.088
2014-04-03,62.028
2014-04-04,28.848
2014-04-05,21.584
2014-04-06,35.716
2014-04-07,49.876
2014-04-08,37.18
2014-04-09,45.916
2014-04-10,42.204
2014-04-11,23.26
2014-04-12,30.88
2014-04-13,53.044
2014-04-14,74.424
2014-04-15,64.248
2014-04-16,70.028
2014-04-17,56.392
2014-04-18,36.96
2014-04-19,31.216
2014-04-20,36.66
2014-04-21,50.832
2014-04-22,42.88
2014-04-23,40.648
2014-04-24,44.104
2014-04-25,39.52
2014-04-26,41.044
2014-04-27,42.784
2014-04-28,38.136
2014-04-29,42.096
2014-04-30,41.66
2014-05-01,59.024
2014-05-02,45.3
2014-05-03,39.388
2014-05-04,41.088
2014-05-05,36.996
2014-05-06,55.936
2014-05-07,44.904
2014-05-08,28.924
2014-05-09,35.656
2014-05-10,32.364
2014-05-11,33.528
2014-05-12,41.624
2014-05-13,31.684
2014-05-14,36.156
2014-05-15,29.336
2014-05-16,27.148
2014-05-17,42.696
2014-05-18,38.224
2014-05-19,35.272
2014-05-20,44.844
2014-05-21,33.056
2014-05-22,37.076
2014-05-23,48.9
2014-05-24,35.964
2014-05-25,35.636
2014-05-26,38.092
2014-05-27,32.08
2014-05-28,29.248
2014-05-29,24.576
2014-05-30,26.236
2014-05-31,38.14
2014-06-01,41.672
2014-06-02,45.244
2014-06-03,52.668
2014-06-04,54.424
2014-06-05,46.676
2014-06-06,45.512
2014-06-07,55.392
2014-06-08,54.436
2014-06-09,45.032
2014-06-10,47.892
2014-06-11,50.888
2014-06-12,62.832
2014-06-13,58.908
2014-06-14,54.468
2014-06-15,58.184
2014-06-16,64.312
2014-06-17,79.864
2014-06-18,63.216
2014-06-19,62.196
2014-06-20,43.86
2014-06-21,58.284
2014-06-22,73.428
2014-06-23,66.72
2014-06-24,75.724
2014-06-25,81.348
2014-06-26,73.208
2014-06-27,62.948
2014-06-28,51.056
2014-06-29,76.88
2014-06-30,50.272
2014-07-01,61.58
2014-07-02,50.1
2014-07-03,68.1
2014-07-04,68.736
2014-07-05,67.692
2014-07-06,66.848
2014-07-07,54.92
2014-07-08,77.372
2014-07-09,56.196
2014-07-10,64.444
2014-07-11,51.724
2014-07-12,55.924
2014-07-13,60.448
2014-07-14,49.824
2014-07-15,56.58
2014-07-16,57.064
2014-07-17,74.568
2014-07-18,63.504
2014-07-19,57.5
2014-07-20,59.164
2014-07-21,82.0
2014-07-22,78.868
2014-07-23,63.908
2014-07-24,70.584
2014-07-25,80.908
2014-07-26,65.88
2014-07-27,64.656
2014-07-28,69.128
2014-07-29,71.208
2014-07-30,56.208
2014-07-31,59.228
2014-08-01,45.976
2014-08-02,49.62
2014-08-03,67.52
2014-08-04,63.228
2014-08-05,52.76
2014-08-06,59.576
2014-08-07,65.224
2014-08-08,51.6
2014-08-09,61.792
2014-08-10,54.812
2014-08-11,55.22
2014-08-12,66.36
2014-08-13,56.648
2014-08-14,56.06
2014-08-15,66.884
2014-08-16,55.116
2014-08-17,70.356
2014-08-18,50.04
2014-08-19,50.608
2014-08-20,49.56
2014-08-21,85.3
2014-08-22,61.444
2014-08-23,49.792
2014-08-24,46.484
2014-08-25,74.52
2014-08-26,36.292
2014-08-27,44.88
2014-08-28,48.116
2014-08-29,38.384
2014-08-30,50.192
2014-08-31,46.136
2014-09-01,48.504
2014-09-02,46.72
2014-09-03,39.776
2014-09-04,39.148
2014-09-05,26.208
2014-09-06,40.908
2014-09-07,47.868
2014-09-08,42.432
2014-09-09,46.808
2014-09-10,33.756
2014-09-11,40.592
2014-09-12,40.576
2014-09-13,40.696
2014-09-14,42.484
2014-09-15,38.304
2014-09-16,39.244
2014-09-17,28.524
2014-09-18,58.712
2014-09-19,40.656
2014-09-20,46.192
2014-09-21,39.62
2014-09-22,46.752
2014-09-23,49.216
2014-09-24,40.712
2014-09-25,51.772
2014-09-26,32.148
2014-09-27,24.892
2014-09-28,43.348
2014-09-29,43.112
2014-09-30,54.908
2014-10-01,35.692
2014-10-02,51.66
2014-10-03,43.652
2014-10-04,37.364
2014-10-05,69.136
2014-10-06,42.536
2014-10-07,51.288
2014-10-08,53.96
2014-10-09,41.364
2014-10-10,32.74
2014-10-11,37.72
2014-10-12,43.292
2014-10-13,37.192
2014-10-14,41.276
2014-10-15,33.516
2014-10-16,48.82
2014-10-17,36.992
2014-10-18,44.292
2014-10-19,44.58
2014-10-20,54.008
2014-10-21,35.368
2014-10-22,36.776
2014-10-23,51.196
2014-10-24,53.26
2014-10-25,48.784
2014-10-26,68.664
2014-10-27,60.564
2014-10-28,44.416
2014-10-29,44.228
2014-10-30,48.972
2014-10-31,46.652
2014-11-01,35.796
2014-11-02,52.808
2014-11-03,48.188
2014-11-04,56.892
2014-11-05,33.272
2014-11-06,47.228
2014-11-07,46.868
2014-11-08,47.58
2014-11-09,48.252
2014-11-10,31.74
2014-11-11,45.26
2014-11-12,49.192
2014-11-13,47.016
2014-11-14,41.26
2014-11-15,50.444
2014-11-16,52.576
2014-11-17,55.032
2014-11-18,75.904
2014-11-19,57.248
2014-11-20,42.576
2014-11-21,36.1
2014-11-22,45.824
2014-11-23,43.06
2014-11-24,55.14
2014-11-25,43.32
2014-11-26,44.724
2014-11-27,39.588
2014-11-28,35.136
2014-11-29,37.344
2014-11-30,42.368
2014-12-01,51.376
2014-12-02,51.488
2014-12-03,48.916
2014-12-04,54.664
2014-12-05,35.952
2014-12-06,49.952
2014-12-07,65.232
2014-12-08,55.804
2014-12-09,37.428
2014-12-10,35.664
2014-12-11,32.98
2014-12-12,45.628
2014-12-13,39.76
2014-12-14,62.936
2014-12-15,55.34
2014-12-16,48.852
2014-12-17,54.344
2014-12-18,47.768
2014-12-19,44.632
2014-12-20,48.336
2014-12-21,82.96
2014-12-22,63.08
2014-12-23,68.108
2014-12-24,70.636
2014-12-25,70.88
2014-12-26,56.532
2014-12-27,59.612
2014-12-28,63.196
2014-12-29,56.036
2014-12-30,57.64
2014-12-31,40.688
2015-01-01,61.216
2015-01-02,76.688
2015-01-03,74.084
2015-01-04,50.828
2015-01-05,66.424
2015-01-06,58.904
2015-01-07,54.348
2015-01-08,57.956
2015-01-09,51.936
2015-01-10,57.184
2015-01-11,62.536
2015-01-12,52.32
2015-01-13,57.236
2015-01-14,44.032
2015-01-15,54.072
2015-01-16,48.54
2015-01-17,44.3
2015-01-18,52.824
2015-01-19,67.96
2015-01-20,69.868
2015-01-21,60.936
2015-01-22,44.44
