,Google Trend
2013-04-28,15.788
2013-04-29,8.136
2013-04-30,3.592
2013-05-01,28.784
2013-05-02,39.616
2013-05-03,28.004
2013-05-04,0.0
2013-05-05,19.544
2013-05-06,31.152
2013-05-07,43.164
2013-05-08,17.424
2013-05-09,53.004
2013-05-10,26.492
2013-05-11,9.684
2013-05-12,9.048
2013-05-13,28.736
2013-05-14,28.584
2013-05-15,31.836
2013-05-16,36.252
2013-05-17,31.032
2013-05-18,12.576
2013-05-19,15.632
2013-05-20,30.484
2013-05-21,21.284
2013-05-22,52.492
2013-05-23,36.272
2013-05-24,20.692
2013-05-25,32.068
2013-05-26,19.964
2013-05-27,38.888
2013-05-28,36.94
2013-05-29,42.5
2013-05-30,44.736
2013-05-31,35.144
2013-06-01,0.0
2013-06-02,19.548
2013-06-03,34.932
2013-06-04,22.952
2013-06-05,39.84
2013-06-06,18.956
2013-06-07,34.388
2013-06-08,11.432
2013-06-09,14.564
2013-06-10,29.96
2013-06-11,51.584
2013-06-12,27.84
2013-06-13,25.884
2013-06-14,44.084
2013-06-15,0.0
2013-06-16,28.148
2013-06-17,63.94
2013-06-18,32.024
2013-06-19,46.132
2013-06-20,59.648
2013-06-21,25.3
2013-06-22,36.844
2013-06-23,8.664
2013-06-24,18.816
2013-06-25,32.928
2013-06-26,32.6
2013-06-27,24.176
2013-06-28,39.804
2013-06-29,20.104
2013-06-30,11.044
2013-07-01,2.528
2013-07-02,18.796
2013-07-03,25.756
2013-07-04,14.988
2013-07-05,16.752
2013-07-06,12.388
2013-07-07,10.368
2013-07-08,28.736
2013-07-09,14.616
2013-07-10,3.592
2013-07-11,0.0
2013-07-12,0.0
2013-07-13,23.0
2013-07-14,40.776
2013-07-15,11.652
2013-07-16,21.724
2013-07-17,16.752
2013-07-18,29.984
2013-07-19,17.292
2013-07-20,18.512
2013-07-21,10.2
2013-07-22,10.204
2013-07-23,27.384
2013-07-24,22.796
2013-07-25,21.16
2013-07-26,11.16
2013-07-27,13.332
2013-07-28,24.92
2013-07-29,14.36
2013-07-30,18.572
2013-07-31,18.508
2013-08-01,52.348
2013-08-02,44.284
2013-08-03,30.44
2013-08-04,37.708
2013-08-05,57.828
2013-08-06,46.388
2013-08-07,30.016
2013-08-08,38.612
2013-08-09,73.46
2013-08-10,64.088
2013-08-11,28.844
2013-08-12,43.216
2013-08-13,19.464
2013-08-14,14.408
2013-08-15,26.348
2013-08-16,20.308
2013-08-17,13.124
2013-08-18,25.872
2013-08-19,28.336
2013-08-20,21.96
2013-08-21,23.352
2013-08-22,12.384
2013-08-23,34.976
2013-08-24,11.172
2013-08-25,21.4
2013-08-26,28.212
2013-08-27,22.716
2013-08-28,17.34
2013-08-29,27.012
2013-08-30,14.432
2013-08-31,14.668
2013-09-01,19.936
2013-09-02,31.812
2013-09-03,37.656
2013-09-04,42.62
2013-09-05,18.14
2013-09-06,22.076
2013-09-07,8.948
2013-09-08,14.436
2013-09-09,17.484
2013-09-10,14.252
2013-09-11,20.716
2013-09-12,23.544
2013-09-13,24.476
2013-09-14,12.084
2013-09-15,18.968
2013-09-16,15.88
2013-09-17,24.704
2013-09-18,22.72
2013-09-19,16.7
2013-09-20,9.292
2013-09-21,9.148
2013-09-22,19.612
2013-09-23,29.044
2013-09-24,32.444
2013-09-25,44.272
2013-09-26,45.72
2013-09-27,15.332
2013-09-28,22.22
2013-09-29,26.704
2013-09-30,28.116
2013-10-01,26.74
2013-10-02,22.552
2013-10-03,18.508
2013-10-04,35.48
2013-10-05,20.208
2013-10-06,25.56
2013-10-07,34.984
2013-10-08,28.352
2013-10-09,33.424
2013-10-10,44.476
2013-10-11,36.128
2013-10-12,33.96
2013-10-13,0.0
2013-10-14,26.264
2013-10-15,38.084
2013-10-16,20.1
2013-10-17,17.216
2013-10-18,29.108
2013-10-19,20.756
2013-10-20,18.608
2013-10-21,26.664
2013-10-22,19.512
2013-10-23,27.716
2013-10-24,29.48
2013-10-25,24.584
2013-10-26,20.176
2013-10-27,18.856
2013-10-28,21.036
2013-10-29,8.896
2013-10-30,33.088
2013-10-31,29.024
2013-11-01,19.28
2013-11-02,26.336
2013-11-03,7.688
2013-11-04,26.672
2013-11-05,30.92
2013-11-06,22.424
2013-11-07,24.196
2013-11-08,55.676
2013-11-09,46.46
2013-11-10,33.692
2013-11-11,35.368
2013-11-12,50.676
2013-11-13,58.412
2013-11-14,71.148
2013-11-15,46.132
2013-11-16,30.804
2013-11-17,25.136
2013-11-18,51.944
2013-11-19,33.236
2013-11-20,24.896
2013-11-21,26.744
2013-11-22,29.656
2013-11-23,24.788
2013-11-24,25.676
2013-11-25,49.376
2013-11-26,37.656
2013-11-27,35.956
2013-11-28,22.392
2013-11-29,15.376
2013-11-30,19.712
2013-12-01,16.752
2013-12-02,21.66
2013-12-03,36.36
2013-12-04,35.56
2013-12-05,11.908
2013-12-06,6.604
2013-12-07,0.0
2013-12-08,8.132
2013-12-09,22.24
2013-12-10,39.032
2013-12-11,21.54
2013-12-12,51.052
2013-12-13,33.532
2013-12-14,25.352
2013-12-15,17.436
2013-12-16,27.816
2013-12-17,30.136
2013-12-18,20.904
2013-12-19,38.34
2013-12-20,29.652
2013-12-21,7.9
2013-12-22,18.724
2013-12-23,17.504
2013-12-24,39.56
2013-12-25,29.836
2013-12-26,19.108
2013-12-27,37.316
2013-12-28,13.344
2013-12-29,17.704
2013-12-30,28.144
2013-12-31,47.944
2014-01-01,16.68
2014-01-02,36.012
2014-01-03,27.836
2014-01-04,24.564
2014-01-05,7.928
2014-01-06,25.256
2014-01-07,41.768
2014-01-08,44.94
2014-01-09,38.08
2014-01-10,37.408
2014-01-11,16.148
2014-01-12,15.332
2014-01-13,39.292
2014-01-14,24.712
2014-01-15,22.068
2014-01-16,31.112
2014-01-17,21.392
2014-01-18,8.284
2014-01-19,22.416
2014-01-20,30.98
2014-01-21,36.952
2014-01-22,46.012
2014-01-23,36.384
2014-01-24,22.02
2014-01-25,26.86
2014-01-26,15.476
2014-01-27,41.724
2014-01-28,39.308
2014-01-29,49.608
2014-01-30,13.536
2014-01-31,22.652
2014-02-01,29.68
2014-02-02,20.496
2014-02-03,26.508
2014-02-04,43.644
2014-02-05,21.044
2014-02-06,14.856
2014-02-07,21.756
2014-02-08,0.0
2014-02-09,14.08
2014-02-10,51.336
2014-02-11,36.472
2014-02-12,37.34
2014-02-13,31.82
2014-02-14,37.972
2014-02-15,29.608
2014-02-16,20.872
2014-02-17,12.956
2014-02-18,32.596
2014-02-19,28.58
2014-02-20,57.636
2014-02-21,38.476
2014-02-22,25.752
2014-02-23,7.868
2014-02-24,45.088
2014-02-25,34.236
2014-02-26,27.944
2014-02-27,22.056
2014-02-28,19.604
2014-03-01,2.02
2014-03-02,0.0
2014-03-03,26.28
2014-03-04,41.036
2014-03-05,21.976
2014-03-06,28.076
2014-03-07,25.44
2014-03-08,18.352
2014-03-09,0.0
2014-03-10,31.576
2014-03-11,20.792
2014-03-12,31.16
2014-03-13,32.164
2014-03-14,31.888
2014-03-15,11.988
2014-03-16,2.16
2014-03-17,12.904
2014-03-18,22.304
2014-03-19,6.796
2014-03-20,13.452
2014-03-21,2.072
2014-03-22,15.644
2014-03-23,0.0
2014-03-24,26.824
2014-03-25,40.08
2014-03-26,25.02
2014-03-27,28.732
2014-03-28,29.076
2014-03-29,7.432
2014-03-30,11.772
2014-03-31,13.976
2014-04-01,12.336
2014-04-02,24.236
2014-04-03,25.68
2014-04-04,24.076
2014-04-05,18.788
2014-04-06,8.916
2014-04-07,17.816
2014-04-08,44.252
2014-04-09,28.924
2014-04-10,84.152
2014-04-11,72.3
2014-04-12,35.748
2014-04-13,8.852
2014-04-14,6.816
2014-04-15,26.644
2014-04-16,19.824
2014-04-17,23.408
2014-04-18,8.244
2014-04-19,29.568
2014-04-20,8.184
2014-04-21,23.172
2014-04-22,31.4
2014-04-23,19.716
2014-04-24,42.36
2014-04-25,22.568
2014-04-26,10.852
2014-04-27,0.0
2014-04-28,22.972
2014-04-29,20.628
2014-04-30,22.576
2014-05-01,26.968
2014-05-02,26.792
2014-05-03,16.944
2014-05-04,14.508
2014-05-05,35.496
2014-05-06,29.84
2014-05-07,21.7
2014-05-08,51.176
2014-05-09,52.344
2014-05-10,11.492
2014-05-11,3.82
2014-05-12,16.42
2014-05-13,18.12
2014-05-14,8.26
2014-05-15,33.108
2014-05-16,23.176
2014-05-17,10.728
2014-05-18,23.42
2014-05-19,17.564
2014-05-20,10.916
2014-05-21,33.928
2014-05-22,35.536
2014-05-23,24.952
2014-05-24,10.352
2014-05-25,2.388
2014-05-26,13.748
2014-05-27,30.064
2014-05-28,15.924
2014-05-29,19.364
2014-05-30,26.032
2014-05-31,10.744
2014-06-01,7.984
2014-06-02,25.488
2014-06-03,29.1
2014-06-04,38.464
2014-06-05,27.968
2014-06-06,14.236
2014-06-07,22.124
2014-06-08,12.988
2014-06-09,24.448
2014-06-10,33.216
2014-06-11,23.472
2014-06-12,40.84
2014-06-13,29.328
2014-06-14,2.288
2014-06-15,8.372
2014-06-16,7.716
2014-06-17,14.232
2014-06-18,31.468
2014-06-19,24.268
2014-06-20,25.672
2014-06-21,3.256
2014-06-22,14.228
2014-06-23,46.492
2014-06-24,34.804
2014-06-25,50.104
2014-06-26,43.408
2014-06-27,28.504
2014-06-28,36.26
2014-06-29,38.716
2014-06-30,39.132
2014-07-01,25.18
2014-07-02,24.224
2014-07-03,33.86
2014-07-04,54.856
2014-07-05,11.244
2014-07-06,0.0
2014-07-07,31.54
2014-07-08,54.848
2014-07-09,26.632
2014-07-10,26.268
2014-07-11,25.04
2014-07-12,23.04
2014-07-13,18.136
2014-07-14,20.356
2014-07-15,35.388
2014-07-16,85.56
2014-07-17,40.12
2014-07-18,20.84
2014-07-19,10.076
2014-07-20,0.0
2014-07-21,17.536
2014-07-22,27.248
2014-07-23,31.208
2014-07-24,24.608
2014-07-25,11.12
2014-07-26,14.924
2014-07-27,0.0
2014-07-28,18.836
2014-07-29,19.188
2014-07-30,17.676
2014-07-31,30.372
2014-08-01,22.76
2014-08-02,11.792
2014-08-03,2.452
2014-08-04,11.728
2014-08-05,21.528
2014-08-06,13.072
2014-08-07,16.648
2014-08-08,28.284
2014-08-09,3.14
2014-08-10,0.0
2014-08-11,14.708
2014-08-12,20.76
2014-08-13,77.884
2014-08-14,34.508
2014-08-15,34.932
2014-08-16,2.948
2014-08-17,11.66
2014-08-18,20.568
2014-08-19,30.424
2014-08-20,16.54
2014-08-21,32.792
2014-08-22,31.244
2014-08-23,18.244
2014-08-24,9.18
2014-08-25,26.2
2014-08-26,16.24
2014-08-27,21.98
2014-08-28,24.784
2014-08-29,27.22
2014-08-30,0.0
2014-08-31,10.096
2014-09-01,6.448
2014-09-02,24.6
2014-09-03,27.036
2014-09-04,14.532
2014-09-05,23.708
2014-09-06,10.416
2014-09-07,22.928
2014-09-08,27.716
2014-09-09,20.144
2014-09-10,16.256
2014-09-11,16.64
2014-09-12,20.48
2014-09-13,7.884
2014-09-14,11.464
2014-09-15,15.672
2014-09-16,9.292
2014-09-17,11.644
2014-09-18,8.104
2014-09-19,9.144
2014-09-20,19.036
2014-09-21,0.0
2014-09-22,21.372
2014-09-23,45.576
2014-09-24,21.308
2014-09-25,26.564
2014-09-26,27.116
2014-09-27,4.724
2014-09-28,0.0
2014-09-29,15.94
2014-09-30,4.112
2014-10-01,28.532
2014-10-02,42.428
2014-10-03,29.464
2014-10-04,0.0
2014-10-05,0.0
2014-10-06,19.348
2014-10-07,29.648
2014-10-08,28.748
2014-10-09,29.268
2014-10-10,10.796
2014-10-11,14.104
2014-10-12,6.972
2014-10-13,22.732
2014-10-14,32.088
2014-10-15,18.764
2014-10-16,20.272
2014-10-17,21.332
2014-10-18,14.94
2014-10-19,6.548
2014-10-20,48.096
2014-10-21,71.496
2014-10-22,47.236
2014-10-23,18.068
2014-10-24,22.884
2014-10-25,23.744
2014-10-26,8.704
2014-10-27,24.168
2014-10-28,21.772
2014-10-29,39.136
2014-10-30,24.556
2014-10-31,19.612
2014-11-01,12.468
2014-11-02,15.272
2014-11-03,26.708
2014-11-04,19.708
2014-11-05,31.652
2014-11-06,26.7
2014-11-07,12.4
2014-11-08,21.952
2014-11-09,22.596
2014-11-10,39.348
2014-11-11,47.02
2014-11-12,45.092
2014-11-13,33.036
2014-11-14,28.708
2014-11-15,0.0
2014-11-16,17.332
2014-11-17,29.212
2014-11-18,44.08
2014-11-19,43.392
2014-11-20,23.284
